game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,7,BISV B,18,8,10,3,1,16,1,2,17
1,2,10,Canyon Crest A,100,40,60,12,2,6,6,6,8
2,1,12,Clements,92,32,60,8,0,12,6,2,12
2,2,42,Whitney Young,90,40,50,11,1,8,5,6,9
3,1,1,Allen School,68,28,40,8,1,11,4,4,12
3,2,13,Clovis North,92,32,60,10,2,8,6,4,10
4,1,40,WWPS B,44,24,20,6,0,14,2,1,17
4,2,43,Woodlands,28,28,0,7,0,13,0,7,13
5,1,29,MSJ,206,56,150,16,2,2,15,1,4
5,2,33,North Hollywood B,26,16,10,4,0,16,1,2,17
6,1,16,Deap South,146,56,90,16,2,2,9,7,4
6,2,41,Ward Melville,22,12,10,3,0,17,1,2,17
7,1,24,Lexington A,66,16,50,8,4,8,5,3,12
7,2,31,North Allegheny,92,32,60,9,1,10,6,3,11
8,1,28,Lynbrook B,74,24,50,6,0,14,5,1,14
8,2,39,WWPS A,126,36,90,12,3,5,9,2,9
9,1,15,Collierville B,0,0,0,1,1,18,0,1,19
9,2,22,Iolani A,158,68,90,17,0,3,9,8,3
10,1,18,Doral Academy,72,32,40,8,0,12,4,4,12
10,2,34,Palo Alto,84,24,60,9,3,8,6,3,11
11,1,2,American Heritage Broward,44,24,20,6,0,14,2,3,15
11,2,25,Lexington B,96,36,60,11,2,7,6,5,9
12,1,9,Bridgeland,54,24,30,7,1,12,3,4,13
12,2,35,Punahou School,88,28,60,9,2,9,6,3,11
13,1,14,Collierville A,94,44,50,12,1,7,5,7,8
13,2,23,Iolani B,28,8,20,5,3,12,2,3,15
14,1,11,Canyon Crest B,0,0,0,0,0,20,0,0,20
14,2,27,Lynbrook A,198,68,130,17,0,3,13,4,3
15,1,3,Arcadia A,114,44,70,11,0,9,7,4,9
15,2,26,Luka Fan Club,72,12,60,7,4,9,6,1,13
16,1,21,Hunter,82,32,50,8,0,12,5,3,12
16,2,32,North Hollywood A,110,40,70,11,1,8,7,4,9
17,1,4,Arcadia B,68,28,40,8,1,11,4,4,12
17,2,20,Enloe,96,36,60,10,1,9,6,3,11
18,1,6,BISV A,82,32,50,11,3,6,5,6,9
18,2,8,Benjamin Franklin,48,28,20,7,0,13,2,5,13
19,1,17,Deep Run,70,20,50,8,3,9,5,3,12
19,2,37,Thomas Jefferson,94,24,70,9,3,8,7,2,11
20,1,3,Arcadia A,36,16,20,4,0,16,2,2,16
20,2,38,Varun Clemens,134,44,90,13,2,5,9,4,7
21,1,6,BISV A,74,24,50,10,4,6,5,5,10
21,2,9,Bridgeland,30,20,10,5,0,15,1,4,15
22,1,41,Ward Melville,56,36,20,9,0,11,2,7,11
22,2,43,Woodlands,60,20,40,5,0,15,4,1,15
23,1,19,Eastlake,56,16,40,6,2,12,4,2,14
23,2,42,Whitney Young,108,48,60,12,0,8,6,6,8
24,1,8,Benjamin Franklin,40,20,20,5,0,15,2,3,15
24,2,33,North Hollywood B,122,32,90,10,2,8,9,1,10
25,1,15,Collierville B,78,28,50,7,0,13,5,2,13
25,2,21,Hunter,128,48,80,12,0,8,8,3,9
26,1,14,Collierville A,104,44,60,12,1,7,6,5,9
26,2,40,WWPS B,46,16,30,4,0,16,3,1,16
