game_id,slot,team_id,team_name,category,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,7,BISV B,BIOLOGY,4,0,1,0,3,0,1,3
1,1,7,BISV B,CHEMISTRY,8,10,2,0,2,1,1,2
1,1,7,BISV B,EARTH_SPACE,0,0,0,0,4,0,0,4
1,1,7,BISV B,MATH,0,0,0,0,4,0,0,4
1,1,7,BISV B,PHYSICS,-4,0,0,1,3,0,0,4
1,2,10,Canyon Crest A,BIOLOGY,8,10,2,0,2,1,1,2
1,2,10,Canyon Crest A,CHEMISTRY,0,10,1,1,2,1,0,3
1,2,10,Canyon Crest A,EARTH_SPACE,4,0,2,1,1,0,2,2
1,2,10,Canyon Crest A,MATH,12,10,3,0,1,1,2,1
1,2,10,Canyon Crest A,PHYSICS,16,30,4,0,0,3,1,0
2,1,12,Clements,BIOLOGY,0,0,0,0,4,0,0,4
2,1,12,Clements,CHEMISTRY,12,20,3,0,1,2,1,1
2,1,12,Clements,EARTH_SPACE,0,0,0,0,4,0,0,4
2,1,12,Clements,MATH,12,20,3,0,1,2,1,1
2,1,12,Clements,PHYSICS,8,20,2,0,2,2,0,2
2,2,42,Whitney Young,BIOLOGY,12,10,3,0,1,1,2,1
2,2,42,Whitney Young,CHEMISTRY,4,10,1,0,3,1,0,3
2,2,42,Whitney Young,EARTH_SPACE,16,10,4,0,0,1,3,0
2,2,42,Whitney Young,MATH,4,10,1,0,3,1,0,3
2,2,42,Whitney Young,PHYSICS,4,10,2,1,1,1,1,2
3,1,1,Allen School,BIOLOGY,0,0,0,0,4,0,0,4
3,1,1,Allen School,CHEMISTRY,8,10,2,0,2,1,1,2
3,1,1,Allen School,EARTH_SPACE,8,10,2,0,2,1,1,2
3,1,1,Allen School,MATH,0,0,1,1,2,0,1,3
3,1,1,Allen School,PHYSICS,12,20,3,0,1,2,1,1
3,2,13,Clovis North,BIOLOGY,16,30,4,0,0,3,1,0
3,2,13,Clovis North,CHEMISTRY,0,10,1,1,2,1,0,3
3,2,13,Clovis North,EARTH_SPACE,8,0,2,0,2,0,2,2
3,2,13,Clovis North,MATH,8,10,2,0,2,1,1,2
3,2,13,Clovis North,PHYSICS,0,10,1,1,2,1,0,3
4,1,40,WWPS B,BIOLOGY,0,0,0,0,4,0,0,4
4,1,40,WWPS B,CHEMISTRY,12,20,3,0,1,2,0,2
4,1,40,WWPS B,EARTH_SPACE,8,0,2,0,2,0,1,3
4,1,40,WWPS B,MATH,4,0,1,0,3,0,0,4
4,1,40,WWPS B,PHYSICS,0,0,0,0,4,0,0,4
4,2,43,Woodlands,BIOLOGY,4,0,1,0,3,0,1,3
4,2,43,Woodlands,CHEMISTRY,4,0,1,0,3,0,1,3
4,2,43,Woodlands,EARTH_SPACE,4,0,1,0,3,0,1,3
4,2,43,Woodlands,MATH,8,0,2,0,2,0,2,2
4,2,43,Woodlands,PHYSICS,8,0,2,0,2,0,2,2
5,1,29,MSJ,BIOLOGY,16,40,4,0,0,4,0,0
5,1,29,MSJ,CHEMISTRY,8,30,3,1,0,3,0,1
5,1,29,MSJ,EARTH_SPACE,4,20,2,1,1,2,0,2
5,1,29,MSJ,MATH,12,30,3,0,1,3,0,1
5,1,29,MSJ,PHYSICS,16,30,4,0,0,3,1,0
5,2,33,North Hollywood B,BIOLOGY,0,0,0,0,4,0,0,4
5,2,33,North Hollywood B,CHEMISTRY,4,0,1,0,3,0,0,4
5,2,33,North Hollywood B,EARTH_SPACE,8,10,2,0,2,1,1,2
5,2,33,North Hollywood B,MATH,4,0,1,0,3,0,1,3
5,2,33,North Hollywood B,PHYSICS,0,0,0,0,4,0,0,4
6,1,16,Deap South,BIOLOGY,12,20,3,0,1,2,1,1
6,1,16,Deap South,CHEMISTRY,0,10,2,2,0,1,1,2
6,1,16,Deap South,EARTH_SPACE,16,10,4,0,0,1,3,0
6,1,16,Deap South,MATH,12,30,3,0,1,3,0,1
6,1,16,Deap South,PHYSICS,16,20,4,0,0,2,2,0
6,2,41,Ward Melville,BIOLOGY,0,0,0,0,4,0,0,4
6,2,41,Ward Melville,CHEMISTRY,8,10,2,0,2,1,1,2
6,2,41,Ward Melville,EARTH_SPACE,0,0,0,0,4,0,0,4
6,2,41,Ward Melville,MATH,4,0,1,0,3,0,1,3
6,2,41,Ward Melville,PHYSICS,0,0,0,0,4,0,0,4
7,1,24,Lexington A,BIOLOGY,-8,0,0,2,2,0,0,4
7,1,24,Lexington A,CHEMISTRY,4,20,2,1,1,2,0,2
7,1,24,Lexington A,EARTH_SPACE,4,10,2,1,1,1,1,2
7,1,24,Lexington A,MATH,8,10,2,0,2,1,1,2
7,1,24,Lexington A,PHYSICS,8,10,2,0,2,1,1,2
7,2,31,North Allegheny,BIOLOGY,16,40,4,0,0,4,0,0
7,2,31,North Allegheny,CHEMISTRY,4,10,1,0,3,1,0,3
7,2,31,North Allegheny,EARTH_SPACE,4,0,1,0,3,0,1,3
7,2,31,North Allegheny,MATH,4,10,1,0,3,1,0,3
7,2,31,North Allegheny,PHYSICS,4,0,2,1,1,0,2,2
8,1,28,Lynbrook B,BIOLOGY,0,0,0,0,4,0,0,4
8,1,28,Lynbrook B,CHEMISTRY,8,20,2,0,2,2,0,2
8,1,28,Lynbrook B,EARTH_SPACE,8,10,2,0,2,1,1,2
8,1,28,Lynbrook B,MATH,0,0,0,0,4,0,0,4
8,1,28,Lynbrook B,PHYSICS,8,20,2,0,2,2,0,2
8,2,39,WWPS A,BIOLOGY,16,40,4,0,0,4,0,0
8,2,39,WWPS A,CHEMISTRY,0,10,2,2,0,1,1,2
8,2,39,WWPS A,EARTH_SPACE,0,0,0,0,4,0,0,4
8,2,39,WWPS A,MATH,16,30,4,0,0,3,0,1
8,2,39,WWPS A,PHYSICS,4,10,2,1,1,1,1,2
9,1,15,Collierville B,BIOLOGY,0,0,0,0,4,0,0,4
9,1,15,Collierville B,CHEMISTRY,-4,0,0,1,3,0,0,4
9,1,15,Collierville B,EARTH_SPACE,0,0,0,0,4,0,0,4
9,1,15,Collierville B,MATH,4,0,1,0,3,0,1,3
9,1,15,Collierville B,PHYSICS,0,0,0,0,4,0,0,4
9,2,22,Iolani A,BIOLOGY,8,20,2,0,2,2,0,2
9,2,22,Iolani A,CHEMISTRY,16,20,4,0,0,2,2,0
9,2,22,Iolani A,EARTH_SPACE,16,10,4,0,0,1,3,0
9,2,22,Iolani A,MATH,12,10,3,0,1,1,2,1
9,2,22,Iolani A,PHYSICS,16,30,4,0,0,3,1,0
10,1,18,Doral Academy,BIOLOGY,12,20,3,0,1,2,1,1
10,1,18,Doral Academy,CHEMISTRY,4,10,1,0,3,1,0,3
10,1,18,Doral Academy,EARTH_SPACE,0,0,0,0,4,0,0,4
10,1,18,Doral Academy,MATH,8,0,2,0,2,0,2,2
10,1,18,Doral Academy,PHYSICS,8,10,2,0,2,1,1,2
10,2,34,Palo Alto,BIOLOGY,0,0,1,1,2,0,1,3
10,2,34,Palo Alto,CHEMISTRY,12,20,3,0,1,2,1,1
10,2,34,Palo Alto,EARTH_SPACE,-4,10,1,2,1,1,0,3
10,2,34,Palo Alto,MATH,8,10,2,0,2,1,1,2
10,2,34,Palo Alto,PHYSICS,8,20,2,0,2,2,0,2
11,1,2,American Heritage Broward,BIOLOGY,12,10,3,0,1,1,2,1
11,1,2,American Heritage Broward,CHEMISTRY,0,0,0,0,4,0,0,4
11,1,2,American Heritage Broward,EARTH_SPACE,0,0,0,0,4,0,0,4
11,1,2,American Heritage Broward,MATH,8,0,2,0,2,0,1,3
11,1,2,American Heritage Broward,PHYSICS,4,10,1,0,3,1,0,3
11,2,25,Lexington B,BIOLOGY,-4,0,0,1,3,0,0,4
11,2,25,Lexington B,CHEMISTRY,16,40,4,0,0,4,0,0
11,2,25,Lexington B,EARTH_SPACE,8,0,2,0,2,0,2,2
11,2,25,Lexington B,MATH,8,10,2,0,2,1,1,2
11,2,25,Lexington B,PHYSICS,8,10,3,1,0,1,2,1
12,1,9,Bridgeland,BIOLOGY,8,10,2,0,2,1,1,2
12,1,9,Bridgeland,CHEMISTRY,8,10,2,0,2,1,1,2
12,1,9,Bridgeland,EARTH_SPACE,-4,0,0,1,3,0,0,4
12,1,9,Bridgeland,MATH,8,0,2,0,2,0,2,2
12,1,9,Bridgeland,PHYSICS,4,10,1,0,3,1,0,3
12,2,35,Punahou School,BIOLOGY,-4,0,0,1,3,0,0,4
12,2,35,Punahou School,CHEMISTRY,4,20,2,1,1,2,0,2
12,2,35,Punahou School,EARTH_SPACE,12,20,3,0,1,2,1,1
12,2,35,Punahou School,MATH,8,10,2,0,2,1,1,2
12,2,35,Punahou School,PHYSICS,8,10,2,0,2,1,1,2
13,1,14,Collierville A,BIOLOGY,12,10,3,0,1,1,2,1
