game_id,tournament_slug,stage,round_number,packet_name,packet_checksum,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,exported_at,moss_version
20260419T192620Z_i9r9dva,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_778a4f7f559fa8_19da71d61f6,Deap South,94,team_3bdfd0169b667_19da71d61f6,Collierville A,86,2026-04-19T20:01:47.736Z,3
20260419T192554Z_avkafez,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_e0dc545f20f83_19da730cd08,Iolani A,94,team_dec6a0540fd0c8_19da730cd08,Clements,70,2026-04-19T19:48:20.278Z,3
20260419T192951Z_ena7ejf,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_9f2edd2682e59_19da735a66a,Luka Fan Club,52,team_8c0b0f5b46064_19da735a66a,Lynbrook A,144,2026-04-19T19:59:41.916Z,3
20260419T192559Z_f7l8zu7,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_b13935827871c_19da731c622,MSJ,124,team_1f53b9ff9ff3e_19da731c622,North Hollywood B,32,2026-04-19T19:57:03.531Z,3
20260419T192840Z_eavh3ux,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_7172737595c148_19da72f662b,North Allegheny,68,team_f29718a159346_19da72f662b,Allen School,82,2026-04-19T19:50:59.509Z,3
20260419T192459Z_uj01mpc,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_28e2c3bf4a024_19da733627a,North Hollywood A,100,team_fbd90035ac5b2_19da733627a,Clovis North,72,2026-04-19T20:02:01.388Z,3
20260419T192714Z_6tmhsdr,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_63fd1356ccad68_19da73563e0,Varun Clemens,80,team_79d3eec6fd644_19da73563e0,Lexington A,70,2026-04-19T19:51:26.354Z,3
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,DOUBLE ELIMINATION 1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,team_c9b50ba99f09e8_19da72f2363,WWPS A,2,team_59532e2ae46be8_19da72f2363,BASIS Chandler,100,2026-04-19T19:56:22.289Z,3
20260419T200746Z_5jkbaap,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_8932fba8547048_19da759dfc6,Clovis North,104,team_941c8186718518_19da759dfc6,North Allegheny,28,2026-04-19T20:32:11.462Z,3
20260419T200857Z_2a3tmjx,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_bb448cddb4574_19da75b2cd0,Collierville A,86,team_ac0ce1f1428468_19da75b2cd0,Clements,48,2026-04-19T20:27:48.256Z,3
20260419T200827Z_pl5mv18,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_7f5c527e2ffdd_19da75a633e,Deap South,116,team_c4daefc4766908_19da75a633e,Iolani A,56,2026-04-19T20:37:10.243Z,3
20260419T200925Z_6nlugfg,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_6d9684574ea53_19da75c07ee,Luka Fan Club,78,team_8363540b08956_19da75c07ee,Lexington A,102,2026-04-19T20:34:50.023Z,3
20260419T201052Z_jtwepfq,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_8eb78203def2a_19da75ae61d,Lynbrook A,102,team_b819e05195b17_19da75ae61d,Varun Clemens,82,2026-04-19T20:40:39.721Z,3
20260419T201129Z_9ol1c6i,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_55c4e538234_19da755b667,MSJ,152,team_8a1db1b9edbba_19da755b667,BASIS Chandler,42,2026-04-19T20:34:15.774Z,3
20260419T200721Z_rptyd99,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_0ae50b91c703f8_19da75a9932,North Hollywood A,108,team_fc1fec0e4255f8_19da75a9932,Allen School,22,2026-04-19T20:28:14.723Z,3
20260419T200754Z_7howmok,dasoni-2,double_elim,2,DOUBLE ELIMINATION 2,3fe07d02043f5df2e3509d2e48ec3a93b82b3906e0fa9358379548b68e3f2153,team_5fb72be42ae5d8_19da7596c83,North Hollywood B,120,team_37956edc84fb18_19da7596c83,WWPS A,68,2026-04-19T20:29:33.708Z,3
20260419T204522Z_ujd3v2e,dasoni-2,double_elim,3,DOUBLE ELIMINATION 3,4695c9141e14282c45371a5689c7bd410dc13fa979d4340761593e9c41dc58d0,team_6bc8a03407081_19da77c6d24,Allen School,30,team_f28571cc25fce8_19da77c6d25,Collierville A,26,2026-04-19T21:06:45.145Z,3
20260419T204608Z_d6bkbg5,dasoni-2,double_elim,3,DOUBLE ELIMINATION 3,4695c9141e14282c45371a5689c7bd410dc13fa979d4340761593e9c41dc58d0,team_888da1cc85ffb_19da77dc5d1,Iolani A,64,team_7fdebcd60c75e_19da77dc5d1,Clovis North,36,2026-04-19T21:13:08.162Z,3
20260419T204357Z_gwh42bq,dasoni-2,double_elim,3,DOUBLE ELIMINATION 3,4695c9141e14282c45371a5689c7bd410dc13fa979d4340761593e9c41dc58d0,team_d6e25c0cd7af4_19da77b766a,Lexington A,74,team_0390aac9e05bb8_19da77b766a,BASIS Chandler,24,2026-04-19T21:02:14.258Z,3
20260419T204811Z_z87feme,dasoni-2,double_elim,3,DOUBLE ELIMINATION 3,4695c9141e14282c45371a5689c7bd410dc13fa979d4340761593e9c41dc58d0,team_7e4fdd7a840458_19da77cd98c,Varun Clemens,72,team_ed26e7d899c34_19da77cd98c,North Hollywood B,44,2026-04-19T21:09:17.511Z,3
20260419T211740Z_tkumr5r,dasoni-2,double_elim,4,DOUBLE ELIMINATION 4,28f23e9c301c3a385809ff5341f7be3c6bfef31cdcb72c93a241b4ec48b9cb64,team_198eb7277c178_19da7958449,Allen School,4,team_78868e06a556e_19da7958449,Varun Clemens,82,2026-04-19T21:39:35.704Z,3
20260419T211753Z_n6s4rcd,dasoni-2,double_elim,4,DOUBLE ELIMINATION 4,28f23e9c301c3a385809ff5341f7be3c6bfef31cdcb72c93a241b4ec48b9cb64,team_8bde03337875b_19da79b02ab,Lynbrook A,52,team_5041399f80221_19da79b02ab,North Hollywood A,36,2026-04-19T21:43:33.462Z,3
20260419T211809Z_q1jnaxa,dasoni-2,double_elim,4,DOUBLE ELIMINATION 4,28f23e9c301c3a385809ff5341f7be3c6bfef31cdcb72c93a241b4ec48b9cb64,team_15125b6a321918_19da79b6294,MSJ,36,team_6a6ec917b0b198_19da79b6294,Deap South,68,2026-04-19T21:46:16.210Z,3
20260419T221747Z_e9h8h71,dasoni-2,double_elim,5,DOUBLE ELIMINATION 5,446d36b412d17ea6b773ab34cb96ac2e75375ae1f17fe5b53c887ef6556e5614,team_facbe22b3d23d8_19da7d0f4b7,MSJ,60,team_1a406355eb6d78_19da7d0f4b7,Varun Clemens,38,2026-04-19T22:43:42.255Z,3
20260419T221535Z_8z4udo0,dasoni-2,double_elim,5,DOUBLE ELIMINATION 5,446d36b412d17ea6b773ab34cb96ac2e75375ae1f17fe5b53c887ef6556e5614,team_87308686ed7a9_19da7ca040a,North Hollywood A,78,team_48100f4c316178_19da7ca040a,Iolani A,92,2026-04-19T22:39:46.220Z,3
20260419T230203Z_remfaxm,dasoni-2,double_elim,6,DOUBLE ELIMINATION 6,a5180f3c86554b29dcd364a6b5f497269f320664e5e5d40216dd9aa155f0a99d,team_3b6d9ef376779_19da7f7cfee,Iolani A,44,team_4f60e8337187f_19da7f7cfee,MSJ,42,2026-04-19T23:27:36.080Z,3
20260419T230221Z_ba4t830,dasoni-2,double_elim,6,DOUBLE ELIMINATION 6,a5180f3c86554b29dcd364a6b5f497269f320664e5e5d40216dd9aa155f0a99d,team_e2b14300089b_19da7faac59,Lynbrook A,8,team_b5c979a060a0b8_19da7faac59,Deap South,34,2026-04-19T23:29:30.980Z,3
20260419T234716Z_hwrwbwc,dasoni-2,double_elim,7,DOUBLE ELIMINATION 7,25dd49fe89bea0e15c19d182cc3d6821becc4b6ac0d75872d754abf5ddc717b0,team_ac7926a502e84_19da82174cc,Lynbrook A,26,team_bbcd9fd48a1758_19da82174cc,Iolani A,30,2026-04-20T00:07:09.610Z,3
20260419T153640Z_f7ikgcc,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_0cc71733c9316_19da662a407,Arcadia A,114,team_5e7eb0169c594_19da662a407,Luka Fan Club,72,2026-04-19T15:53:42.781Z,3
20260419T151435Z_1kglz39,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_baf0735b9d27b8_19da64e4726,BISV A,82,team_c87caa6351d8c8_19da64e4726,Benjamin Franklin,48,2026-04-19T16:02:26.769Z,3
20260419T150553Z_jhlj4bk,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_378ea87bb32ca8_19da642c9b7,Canyon Crest A,100,team_8db3d3531d69b_19da642c9b7,BISV B,18,2026-04-19T15:29:58.336Z,3
20260419T151432Z_nrl6uwr,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_e47b332dbb5d58_19da64d2297,Canyon Crest B,0,team_c7543885c51f48_19da64d2297,Lynbrook A,198,2026-04-19T15:43:19.901Z,3
20260419T150410Z_vucy048,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_ee24a3242ed34_19da63f24c6,Clovis North,92,team_7e86374fda136_19da63f24c6,Allen School,68,2026-04-19T15:34:24.663Z,3
20260419T150419Z_v8nkzsl,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_580b764a57408_19da6450fda,Collierville A,94,team_d3c3d40b2bd42_19da6450fda,Iolani B,28,2026-04-19T15:42:19.774Z,3
20260419T153110Z_zu21s2y,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_bad4ef040bc07_19da65c55cd,Deep Run,70,team_8bc3e3ee1ea938_19da65c55cd,Thomas Jefferson,94,2026-04-19T16:09:22.762Z,3
20260419T154045Z_f1q9sqp,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_c95b5107278e38_19da6660cee,Enloe,96,team_a0088ecc7663a8_19da6660cee,Arcadia B,68,2026-04-19T16:00:44.286Z,3
20260419T150607Z_75btnde,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_7ce2f1f3b4687_19da645f278,Iolani A,158,team_44ca025f51c97_19da645f278,Collierville B,0,2026-04-19T15:32:52.532Z,3
20260419T151122Z_h217pn4,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_e5da36c3167e6_19da643ac25,Lexington A,66,team_309fb2fdb825f8_19da643ac25,North Allegheny,92,2026-04-19T15:34:41.995Z,3
20260419T150700Z_fzz1zna,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_e41c2b8297c09_19da6475ea8,Lexington B,96,team_516e4c55dc69e_19da6475ea8,American Heritage Broward,44,2026-04-19T15:38:43.046Z,3
20260419T150441Z_dswbv1b,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_74282af81c0d38_19da634940a,North Hollywood A,110,team_9e3220f3ea5dc_19da634940a,Hunter,82,2026-04-19T15:55:13.239Z,3
20260419T150536Z_dek5e5j,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_f9015ef3136aa_19da63a4918,North Hollywood B,26,team_5b3d44e8fc635_19da63a4918,MSJ,206,2026-04-19T15:34:42.461Z,3
20260419T150451Z_dt1ctlk,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_49c4840bf6dc58_19da64585b0,Palo Alto,84,team_d684c357ab4f98_19da64585b0,Doral Academy,72,2026-04-19T15:37:44.217Z,3
20260419T145640Z_2cijg34,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_3f7e2441d2114_19da635db93,Punahou School,88,team_25a9786a22ecf_19da635db93,Bridgeland,54,2026-04-19T15:40:00.724Z,3
20260419T151120Z_qz29ok2,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_fac28dd2ee346_19da63df1e0,WWPS A,126,team_338b25349f1638_19da63df1e0,Lynbrook B,74,2026-04-19T15:35:50.479Z,3
20260419T150807Z_1f3gjww,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_d81def1b61e68_19da6438440,Ward Melville,22,team_7a0a14117ac638_19da6438440,Deap South,146,2026-04-19T15:35:47.467Z,3
20260419T151138Z_l8ekqhb,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_5e6ec90bfa7c7_19da64bd3cf,Whitney Young,90,team_ae6dc8207f5118_19da64bd3cf,Clements,92,2026-04-19T15:31:52.139Z,3
20260419T150559Z_wbgcaon,dasoni-2,round_robin,1,ROUND ROBIN 1,eba0dda907121d18d5a402b061baea373f3f5c808f4b23062b42728c97a6c81b,team_8ab1d9a48c4f38_19da640fdcf,Woodlands,28,team_274ca117192d1_19da640fdcf,WWPS B,44,2026-04-19T15:34:39.119Z,3
20260419T160757Z_9mesllx,dasoni-2,round_robin,2,ROUND ROBIN 2,7616a55ed99e53843849492d36a4ec2d84eba5e6b02e074087be801ffe8050e0,team_c476ef0111a2f_19da67eb6c0,BASIS Chandler,170,team_68b6e89d9450d8_19da67eb6c0,Enloe,0,2026-04-19T16:40:16.531Z,3
20260419T160743Z_azy7d07,dasoni-2,round_robin,2,ROUND ROBIN 2,7616a55ed99e53843849492d36a4ec2d84eba5e6b02e074087be801ffe8050e0,team_21ff4c25876128_19da67cfa59,BISV A,74,team_1841ed7c00fd48_19da67cfa59,Bridgeland,30,2026-04-19T16:31:42.118Z,3
20260419T161559Z_v265i51,dasoni-2,round_robin,2,ROUND ROBIN 2,7616a55ed99e53843849492d36a4ec2d84eba5e6b02e074087be801ffe8050e0,team_70b2d8da0ec3e8_19da684ea82,Clovis North,82,team_51c84910c77a28_19da684ea82,Thomas Jefferson,84,2026-04-19T16:47:48.271Z,3
20260419T160702Z_jzgejuv,dasoni-2,round_robin,2,ROUND ROBIN 2,7616a55ed99e53843849492d36a4ec2d84eba5e6b02e074087be801ffe8050e0,team_a81ea7fc0e737_19da6763828,Collierville B,78,team_f66738b333847_19da6763828,Hunter,128,2026-04-19T16:35:57.625Z,3
