team_id,team_name,school,pool
1,Allen School,,
2,American Heritage Broward,,
3,Arcadia A,,
4,Arcadia B,,
5,BASIS Chandler,,
6,BISV A,,
7,BISV B,,
8,Benjamin Franklin,,
9,Bridgeland,,
10,Canyon Crest A,,
11,Canyon Crest B,,
12,Clements,,
13,Clovis North,,
14,Collierville A,,
15,Collierville B,,
16,Deap South,,
17,Deep Run,,
18,Doral Academy,,
19,Eastlake,,
20,Enloe,,
21,Hunter,,
22,Iolani A,,
23,Iolani B,,
24,Lexington A,,
25,Lexington B,,
26,Luka Fan Club,,
27,Lynbrook A,,
28,Lynbrook B,,
29,MSJ,,
30,Morgantown,,
31,North Allegheny,,
32,North Hollywood A,,
33,North Hollywood B,,
34,Palo Alto,,
35,Punahou School,,
36,Quail Valley,,
37,Thomas Jefferson,,
38,Varun Clemens,,
39,WWPS A,,
40,WWPS B,,
41,Ward Melville,,
42,Whitney Young,,
43,Woodlands,,
