rank,team_id,name,wins,losses,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,18,Deap South,5,0,138.4,70,12,18,100,70,460,6.571428571428571
2,31,MSJ,5,0,134.8,63,22,15,100,63,510,8.095238095238095
3,34,North Hollywood A,5,0,120.8,58,12,30,100,58,420,7.241379310344827
4,29,Lynbrook A,4,0,140.5,52,4,24,80,52,370,7.115384615384615
5,33,North Allegheny,4,0,112.0,42,5,33,80,42,300,7.142857142857143
6,40,Varun Clemens,4,0,99.0,44,20,16,80,44,300,6.818181818181818
7,13,Clements,4,0,98.5,41,10,29,80,41,270,6.585365853658536
8,35,North Hollywood B,4,1,85.2,47,8,45,100,47,270,5.74468085106383
9,15,Collierville A,4,1,81.2,49,10,41,100,49,250,5.1020408163265305
10,6,BASIS Chandler,3,1,110.0,46,11,21,78,46,300,6.521739130434782
11,26,Lexington A,3,1,104.0,39,15,26,80,39,320,8.205128205128204
12,1,Allen School,3,1,90.5,46,3,31,80,46,190,4.130434782608695
13,14,Clovis North,3,1,85.5,38,5,37,80,38,210,5.526315789473684
14,39,Thomas Jefferson,3,1,80.5,36,13,31,80,36,230,6.388888888888889
15,24,Iolani A,3,2,109.6,54,7,39,100,54,360,6.666666666666667
16,23,Hunter,3,2,96.4,48,5,47,100,48,310,6.458333333333333
17,27,Lexington B,3,2,77.6,49,12,39,100,49,240,4.8979591836734695
18,37,Punahou School,3,2,69.6,40,8,52,100,40,220,5.5
19,41,WWPS A,2,2,92.5,41,16,23,80,41,270,6.585365853658536
20,28,Luka Fan Club,2,2,79.0,33,14,33,80,33,240,7.2727272727272725
21,30,Lynbrook B,2,2,77.0,32,0,48,80,32,180,5.625
22,4,Arcadia A,2,2,74.0,34,5,41,80,34,180,5.294117647058823
23,22,Enloe,2,2,67.5,31,6,43,80,31,170,5.483870967741935
24,11,Canyon Crest A,2,2,64.5,35,3,42,80,35,130,3.7142857142857144
25,2,Amador Valley A,0.5,0.5,0.0,0,0,12,12,0,0,0
26,17,Davidson A,0.5,0.5,0.0,0,0,12,12,0,0,0
27,7,BISV A,2,3,61.6,36,9,55,100,36,200,5.555555555555555
28,42,WWPS B,2,3,52.4,30,2,68,100,30,150,5.0
29,25,Iolani B,2,3,42.4,33,15,52,100,33,140,4.242424242424242
30,20,Doral Academy,1,3,95.0,37,2,41,80,37,240,6.486486486486487
31,21,Eastlake,1,3,72.5,32,7,41,80,32,190,5.9375
32,36,Palo Alto,1,3,71.5,34,10,36,80,34,190,5.588235294117647
33,38,Quail Valley,1,3,59.0,26,2,52,80,26,140,5.384615384615385
34,5,Arcadia B,1,3,57.0,26,4,48,78,26,140,5.384615384615385
35,44,Whitney Young,1,3,57.0,31,4,45,80,31,120,3.870967741935484
36,32,Morgantown,1,3,51.5,22,8,50,80,22,150,6.818181818181818
37,9,Benjamin Franklin,1,4,36.4,30,2,68,100,30,70,2.3333333333333335
38,43,Ward Melville,1,4,32.8,27,1,72,100,27,60,2.2222222222222223
39,3,American Heritage Broward,1,4,31.2,20,1,79,100,20,80,4.0
40,45,Woodlands,1,4,23.6,19,2,79,100,19,50,2.6315789473684212
41,16,Collierville B,0,5,29.2,17,3,80,100,17,90,5.294117647058823
42,10,Bridgeland,0,5,25.2,22,3,75,100,22,50,2.272727272727273
43,19,Deep Run,0,4,25.0,17,7,56,80,17,60,3.5294117647058822
44,8,BISV B,0,4,14.5,11,4,65,80,11,30,2.727272727272727
45,12,Canyon Crest B,0,4,11.0,7,1,72,80,7,20,2.857142857142857
