rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,29,MSJ,10,31.6,27,8,5,40,27,240,8.88888888888889
2,16,Deap South,9,28.666666666666668,24,7,5,36,24,190,7.916666666666667
3,27,Lynbrook A,8,28.5,19,2,11,32,19,160,8.421052631578947
4,3,Arcadia A,4,28.0,9,1,6,16,9,80,8.88888888888889
5,24,Lexington A,7,26.857142857142858,17,5,6,28,17,140,8.235294117647058
6,38,Varun Clemens,9,25.333333333333332,21,4,11,36,21,160,7.619047619047619
7,32,North Hollywood A,9,24.88888888888889,21,5,10,36,21,160,7.619047619047619
8,20,Enloe,4,23.5,8,2,6,16,8,70,8.75
9,22,Iolani A,10,23.2,22,4,14,40,22,160,7.2727272727272725
10,21,Hunter,5,23.2,10,1,9,20,10,80,8.0
11,14,Collierville A,8,22.75,18,5,9,32,18,130,7.222222222222222
12,37,Thomas Jefferson,4,22.5,7,2,7,16,7,70,10.0
13,30,Morgantown,4,21.0,7,1,8,16,7,60,8.571428571428571
14,35,Punahou School,5,20.8,9,3,8,20,9,80,8.88888888888889
15,28,Lynbrook B,4,20.5,8,0,8,16,8,50,6.25
16,25,Lexington B,5,19.6,11,4,5,20,11,70,6.363636363636363
17,12,Clements,6,19.333333333333332,12,3,9,24,12,80,6.666666666666667
18,33,North Hollywood B,8,19.25,15,4,13,32,15,110,7.333333333333333
19,4,Arcadia B,4,18.5,8,2,5,15,8,50,6.25
20,31,North Allegheny,6,17.666666666666668,11,2,11,24,11,70,6.363636363636363
21,23,Iolani B,5,17.6,10,3,7,20,10,60,6.0
22,13,Clovis North,7,17.142857142857142,12,2,14,28,12,80,6.666666666666667
23,1,Allen School,8,17.0,15,1,16,32,15,80,5.333333333333333
24,18,Doral Academy,4,17.0,7,0,9,16,7,40,5.714285714285714
25,10,Canyon Crest A,4,16.0,7,1,8,16,7,40,5.714285714285714
26,5,BASIS Chandler,7,15.428571428571429,11,4,12,27,11,80,7.2727272727272725
27,34,Palo Alto,4,15.0,7,2,7,16,7,40,5.714285714285714
28,19,Eastlake,4,13.5,7,1,8,16,7,30,4.285714285714286
29,6,BISV A,5,12.0,6,1,13,20,6,40,6.666666666666667
30,39,WWPS A,6,10.333333333333334,9,6,9,24,9,50,5.555555555555555
31,40,WWPS B,5,9.2,5,1,14,20,5,30,6.0
32,26,Luka Fan Club,6,9.0,6,5,13,24,6,50,8.333333333333334
33,7,BISV B,4,9.0,4,0,12,16,4,20,5.0
34,9,Bridgeland,5,8.0,5,0,15,20,5,20,4.0
35,42,Whitney Young,4,8.0,5,2,9,16,5,20,4.0
36,15,Collierville B,5,6.8,3,2,15,20,3,30,10.0
37,41,Ward Melville,5,6.4,4,1,15,20,4,20,5.0
38,43,Woodlands,5,6.4,3,0,17,20,3,20,6.666666666666667
39,8,Benjamin Franklin,5,6.0,6,1,13,20,6,10,1.6666666666666667
40,36,Quail Valley,4,6.0,2,1,13,16,2,20,10.0
41,2,American Heritage Broward,5,2.4,3,0,17,20,3,0,0.0
42,11,Canyon Crest B,4,0.0,0,0,16,16,0,0,0
43,17,Deep Run,4,0.0,1,1,14,16,1,0,0.0
