rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,33,North Hollywood B,8,26.25,20,5,7,32,20,150,7.5
2,21,Hunter,5,24.0,11,1,8,20,11,80,7.2727272727272725
3,35,Punahou School,5,24.0,12,2,6,20,12,80,6.666666666666667
4,32,North Hollywood A,9,20.88888888888889,22,5,9,36,22,120,5.454545454545454
5,5,BASIS Chandler,7,20.0,15,5,7,27,15,100,6.666666666666667
6,24,Lexington A,7,20.0,15,5,8,28,15,100,6.666666666666667
7,34,Palo Alto,4,19.0,8,4,4,16,8,60,7.5
8,40,WWPS B,5,16.4,9,1,10,20,9,50,5.555555555555555
9,22,Iolani A,10,15.0,22,2,16,40,22,70,3.1818181818181817
10,16,Deap South,9,14.88888888888889,20,4,12,36,20,70,3.5
11,25,Lexington B,5,14.8,12,1,7,20,12,30,2.5
12,14,Collierville A,8,14.5,17,3,12,32,17,60,3.5294117647058822
13,38,Varun Clemens,9,14.222222222222221,17,10,9,36,17,100,5.882352941176471
14,31,North Allegheny,6,13.666666666666666,10,2,12,24,10,50,5.0
15,19,Eastlake,4,13.5,7,1,8,16,7,30,4.285714285714286
16,28,Lynbrook B,4,13.5,6,0,10,16,6,30,5.0
17,26,Luka Fan Club,6,13.333333333333334,9,4,11,24,9,60,6.666666666666667
18,36,Quail Valley,4,13.0,8,0,8,16,8,20,2.5
19,27,Lynbrook A,8,12.5,12,2,18,32,12,60,5.0
20,13,Clovis North,7,10.571428571428571,12,1,15,28,12,30,2.5
21,1,Allen School,8,9.5,10,1,21,32,10,40,4.0
22,12,Clements,6,9.0,8,2,14,24,8,30,3.75
23,20,Enloe,4,9.0,6,2,8,16,6,20,3.3333333333333335
24,3,Arcadia A,4,8.5,7,1,8,16,7,10,1.4285714285714286
25,42,Whitney Young,4,8.5,7,1,8,16,7,10,1.4285714285714286
26,29,MSJ,10,8.4,11,10,19,40,11,80,7.2727272727272725
27,6,BISV A,5,8.0,7,2,11,20,7,20,2.857142857142857
28,37,Thomas Jefferson,4,7.5,8,3,5,16,8,10,1.25
29,18,Doral Academy,4,7.0,2,0,14,16,2,20,10.0
30,10,Canyon Crest A,4,6.0,7,1,8,16,7,0,0.0
31,43,Woodlands,5,5.6,3,1,16,20,3,20,6.666666666666667
32,30,Morgantown,4,4.5,3,1,12,16,3,10,3.3333333333333335
33,9,Bridgeland,5,3.6,4,2,14,20,4,10,2.5
34,8,Benjamin Franklin,5,3.2,4,0,16,20,4,0,0.0
35,41,Ward Melville,5,3.2,4,0,16,20,4,0,0.0
36,17,Deep Run,4,2.0,4,2,10,16,4,0,0.0
37,4,Arcadia B,4,1.0,1,0,14,15,1,0,0.0
38,11,Canyon Crest B,4,1.0,1,0,15,16,1,0,0.0
39,15,Collierville B,5,0.8,1,0,19,20,1,0,0.0
40,23,Iolani B,5,0.8,5,4,11,20,5,0,0.0
41,39,WWPS A,6,0.3333333333333333,2,4,18,24,2,10,5.0
42,2,American Heritage Broward,5,0.0,0,0,20,20,0,0,0
43,7,BISV B,4,0.0,1,1,14,16,1,0,0.0
