rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,27,Lynbrook A,3,45.333333333333336,10,1,1,12,10,100,10.0
2,16,Deap South,4,35.0,11,1,4,16,11,100,9.090909090909092
3,18,Doral Academy,3,30.666666666666668,9,1,2,12,9,60,6.666666666666667
4,32,North Hollywood A,4,30.0,11,1,4,16,11,80,7.2727272727272725
5,34,Palo Alto,3,30.0,10,0,2,12,10,50,5.0
6,39,WWPS A,3,26.0,8,1,3,12,8,50,6.25
7,26,Luka Fan Club,4,25.5,9,1,6,16,9,70,7.777777777777778
8,29,MSJ,4,25.0,9,4,3,16,9,80,8.88888888888889
9,42,Whitney Young,3,24.666666666666668,6,0,6,12,6,50,8.333333333333334
10,12,Clements,4,23.5,9,3,4,16,9,70,7.777777777777778
11,5,BASIS Chandler,3,21.333333333333332,7,1,4,12,7,40,5.714285714285714
12,21,Hunter,4,21.0,7,1,8,16,7,60,8.571428571428571
13,23,Iolani B,4,20.5,8,0,8,16,8,50,6.25
14,22,Iolani A,4,19.5,7,0,9,16,7,50,7.142857142857143
15,37,Thomas Jefferson,4,18.5,8,2,6,16,8,50,6.25
16,28,Lynbrook B,3,16.666666666666668,5,0,7,12,5,30,6.0
17,30,Morgantown,3,16.666666666666668,6,1,5,12,6,30,5.0
18,36,Quail Valley,3,16.666666666666668,5,0,7,12,5,30,6.0
19,10,Canyon Crest A,3,14.666666666666666,6,0,6,12,6,20,3.3333333333333335
20,2,American Heritage Broward,4,14.5,7,0,9,16,7,30,4.285714285714286
21,8,Benjamin Franklin,4,14.5,7,0,9,16,7,30,4.285714285714286
22,33,North Hollywood B,4,14.5,7,0,9,16,7,30,4.285714285714286
23,19,Eastlake,3,12.666666666666666,4,2,6,12,4,30,7.5
24,24,Lexington A,3,12.666666666666666,4,2,6,12,4,30,7.5
25,25,Lexington B,4,12.5,7,2,7,16,7,30,4.285714285714286
26,14,Collierville A,4,12.0,7,0,9,16,7,20,2.857142857142857
27,35,Punahou School,4,12.0,7,0,9,16,7,20,2.857142857142857
28,13,Clovis North,3,12.0,4,0,8,12,4,20,5.0
29,4,Arcadia B,4,11.5,5,1,10,16,5,30,6.0
30,3,Arcadia A,3,11.333333333333334,3,2,7,12,3,30,10.0
31,20,Enloe,3,10.666666666666666,3,0,9,12,3,20,6.666666666666667
32,31,North Allegheny,4,9.5,3,1,12,16,3,30,10.0
33,41,Ward Melville,4,9.0,4,0,12,16,4,20,5.0
34,17,Deep Run,3,8.0,2,1,9,12,2,20,10.0
35,1,Allen School,3,7.333333333333333,4,1,7,12,4,10,2.5
36,11,Canyon Crest B,3,6.0,2,0,10,12,2,10,5.0
37,15,Collierville B,4,5.5,3,0,13,16,3,10,3.3333333333333335
38,7,BISV B,3,4.666666666666667,2,1,9,12,2,10,5.0
39,38,Varun Clemens,3,4.666666666666667,4,3,5,12,4,10,2.5
40,9,Bridgeland,4,4.0,4,0,12,16,4,0,0.0
41,40,WWPS B,4,4.0,4,0,12,16,4,0,0.0
42,6,BISV A,4,2.0,3,1,12,16,3,0,0.0
43,43,Woodlands,4,2.0,2,0,14,16,2,0,0.0
