rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,1,Allen School,4,31.5,14,0,2,16,14,70,5.0
2,33,North Allegheny,4,31.0,12,1,3,16,12,80,6.666666666666667
3,13,Clements,4,30.0,11,1,4,16,11,80,7.2727272727272725
4,34,North Hollywood A,5,29.2,13,4,3,20,13,110,8.461538461538462
5,29,Lynbrook A,4,28.0,10,2,4,16,10,80,8.0
6,40,Varun Clemens,4,26.5,12,3,1,16,12,70,5.833333333333333
7,18,Deap South,5,24.4,14,1,5,20,14,70,5.0
8,14,Clovis North,4,20.5,9,1,6,16,9,50,5.555555555555555
9,24,Iolani A,5,20.4,10,2,8,20,10,70,7.0
10,22,Enloe,4,19.0,9,0,7,16,9,40,4.444444444444445
11,26,Lexington A,4,18.5,8,2,6,16,8,50,6.25
12,11,Canyon Crest A,4,18.0,8,0,8,16,8,40,5.0
13,35,North Hollywood B,5,17.2,10,1,9,20,10,50,5.0
14,31,MSJ,5,16.8,11,5,4,20,11,60,5.454545454545454
15,4,Arcadia A,4,15.5,8,0,8,16,8,30,3.75
16,6,BASIS Chandler,4,15.0,9,4,3,16,9,40,4.444444444444445
17,44,Whitney Young,4,14.5,8,1,7,16,8,30,3.75
18,23,Hunter,5,14.0,11,1,8,20,11,30,2.727272727272727
19,28,Luka Fan Club,4,14.0,5,1,10,16,5,40,8.0
20,20,Doral Academy,4,13.5,7,1,8,16,7,30,4.285714285714286
21,16,Collierville B,5,12.8,6,0,14,20,6,40,6.666666666666667
22,27,Lexington B,5,12.8,8,2,10,20,8,40,5.0
23,5,Arcadia B,4,12.5,6,1,9,16,6,30,5.0
24,30,Lynbrook B,4,12.5,5,0,11,16,5,30,6.0
25,38,Quail Valley,4,12.5,5,0,11,16,5,30,6.0
26,15,Collierville A,5,12.4,9,1,10,20,9,30,3.3333333333333335
27,21,Eastlake,4,11.5,5,1,10,16,5,30,6.0
28,41,WWPS A,4,11.5,8,4,4,16,8,30,3.75
29,39,Thomas Jefferson,4,11.0,5,4,7,16,5,40,8.0
30,7,BISV A,5,10.8,8,2,10,20,8,30,3.75
31,36,Palo Alto,4,10.5,4,1,11,16,4,30,7.5
32,37,Punahou School,5,9.6,7,0,13,20,7,20,2.857142857142857
33,32,Morgantown,4,8.5,3,2,11,16,3,30,10.0
34,42,WWPS B,5,8.0,5,0,15,20,5,20,4.0
35,9,Benjamin Franklin,5,6.0,6,1,13,20,6,10,1.6666666666666667
36,45,Woodlands,5,4.8,7,1,12,20,7,0,0.0
37,19,Deep Run,4,4.5,4,2,10,16,4,10,2.5
38,3,American Heritage Broward,5,4.4,3,0,17,20,3,10,3.3333333333333335
39,10,Bridgeland,5,4.4,4,1,15,20,4,10,2.5
40,43,Ward Melville,5,3.2,4,0,16,20,4,0,0.0
41,25,Iolani B,5,2.8,6,5,9,20,6,10,1.6666666666666667
42,2,Amador Valley A,1,0.0,0,0,2,2,0,0,0
43,8,BISV B,4,0.0,1,1,14,16,1,0,0.0
44,12,Canyon Crest B,4,0.0,1,1,14,16,1,0,0.0
45,17,Davidson A,1,0.0,0,0,2,2,0,0,0
