team_id,team_name
team_dd6a4be3cadc3_19caa8df8dd,Basis
team_e3479e3841bfb_19caac67ca3,Basis
team_25705cddc1c288_19caaea5556,Basis
team_d43f07a48169f_19ca9a32547,Basis
team_ba611455d50808_19ca9cad08b,Basis
team_2da9c3c46c13b8_19ca9e86456,Basis
team_c8bc1e0432bca_19ca9ff178e,Basis
team_17c42d64f9e04_19caa2b13b1,Basis
team_876b9322b0c73_19ca9a98045,Centennial A
team_d2a2c3217e9e2_19ca9c8a584,Centennial A
team_1cec4767b5b8f_19ca9e9155d,Centennial A
team_9159fdf04ef388_19caa07446f,Centennial A
team_9aea43c1b03c4_19caa266daa,Centennial A
team_493afcd245f3e8_19ca9b338f3,Centennial B
team_1d4e7ac95cdd2_19ca9c995aa,Centennial B
team_d98131e5d9e52_19ca9e7e04e,Centennial B
team_05461cfa7fb6f_19ca9ff178e,Centennial B
team_a2276a284f2628_19caa235aa1,Centennial B
team_407d6407fa1f68_19ca9adb862,Centreville HS Team 1
team_d82e2b13d2eae8_19ca9d0ff00,Centreville HS Team 1
team_d866a05e68b348_19ca9f210b6,Centreville HS Team 1
team_2162d026a1bc78_19caa069456,Centreville HS Team 1
team_a2cc47e10bb99_19caa234558,Centreville HS Team 1
team_38b46f4e8487c8_19caac96fca,Eagles A
team_909aae5c113ff8_19cab0391d6,Eagles A
team_4f02bb01ebc47_19cab3d10ae,Eagles A
team_8b2d058ea58248_19cab6d61a3,Eagles A
team_b43c856b52e2b8_19cab891eab,Eagles A
team_797bdcc04184d_19ca9b1ca3d,Eagles A
team_a1c93e6a62b49_19ca9d3d7f2,Eagles A
team_eb5c46b0e39768_19ca9f210b6,Eagles A
team_9025e43d8fa68_19caa0aafda,Eagles A
team_9665840569c808_19caa257b2e,Eagles A
team_05fae3fba56d1_19caaa495ba,Eagles B
team_e089d315c5f63_19caacb4a9c,Eagles B
team_71435023217c68_19ca9ace673,Eagles B
team_0a3c3f5d5420e8_19ca9c82510,Eagles B
team_0c54100e2e149_19ca9e74fe5,Eagles B
team_cfded2a62beaa_19caa041972,Eagles B
team_6d4d35bc43689_19caa263ec1,Eagles B
team_6ce31ee5f3d65_19caaa2d438,Eagles C
team_7f289dd643cd1_19caac67ca3,Eagles C
team_78f5a4d8a095d8_19ca9a98045,Eagles C
team_c05dd05bbf0408_19ca9cabfb1,Eagles C
team_ac789a8aaef23_19ca9eb4d67,Eagles C
team_a6338dee404848_19caa04bffd,Eagles C
team_b00292b7b06a7_19caa1ece56,Eagles C
team_47608bdb96543_19caaa823bc,Gargy Bomy
team_1dc1dc7b2b2ca8_19caac63cc5,Gargy Bomy
team_096a1ff00431b8_19caae68bb5,Gargy Bomy
team_96312aee5a521_19ca9a7ba86,Gargy Bomy
team_68cc2d07f0a6b8_19ca9c4e941,Gargy Bomy
team_3c3b4e91d8097_19ca9e93ff1,Gargy Bomy
team_82db79cb9ec908_19caa04bffd,Gargy Bomy
team_e181bdc175c4b8_19caa266daa,Gargy Bomy
team_49552ac2e4a1e_19caa741fe7,Kiruna Scholars
team_da881f7062931_19caacab5cf,Kiruna Scholars
team_9e2639f6551a4_19cab0391d6,Kiruna Scholars
team_12f9ca20461f78_19cab293219,Kiruna Scholars
team_f3488c8f82cc18_19cab4669bf,Kiruna Scholars
team_6b24fd5b2bbb3_19cab6d61a3,Kiruna Scholars
team_16aa7fb561de3_19ca9b338f3,Kiruna Scholars
team_ab8971ed780a1_19ca9cad08b,Kiruna Scholars
team_ce127701421a7_19ca9e46f72,Kiruna Scholars
team_7b0365b0a985b_19caa0bbe19,Kiruna Scholars
team_d0c8a685a1884_19caa217be0,Kiruna Scholars
team_a8abac2a6e4d68_19caaa116ce,Montgomery Blair A
team_7d6234f95ca088_19caabd708f,Montgomery Blair A
team_5c77d2a224b85_19cab06b475,Montgomery Blair A
team_8ec7f128734f38_19cab3d10ae,Montgomery Blair A
team_86dcdde93e37a8_19cab891eac,Montgomery Blair A
team_b6d7c5c3daa85_19ca9990be2,Montgomery Blair A
team_b290b90c9a1d1_19ca9cf1285,Montgomery Blair A
team_d69835468a5f28_19ca9ea2cf5,Montgomery Blair A
team_309eba46d002_19caa072cad,Montgomery Blair A
team_b67d5a9f19c7c_19caa24e9cd,Montgomery Blair A
team_e910596ba64478_19caa741fe7,Montgomery Blair B
team_d92ca318aa00e_19caacb4a9c,Montgomery Blair B
