game_id,round_number,round_name,round_packet_name,status,completed_at,packet_checksum,packet_name,packet_year,pairs_played
1,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:58:22.045000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23
3,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:49:12.176000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23
4,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 19:03:18.237000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23
5,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:53:13.215000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23
6,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:56:49.342000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23
7,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:57:42.826000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,22
8,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:50:29.836000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,23
9,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-01 18:55:57.262000,081aa6cc45a6d686044cf6ebf631152236ebc8e7d201485c9deb4b181d8e86ce,DOUBLE ELIMINATION 1,2026,22
2,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:34:22.440000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
10,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:28:08.270000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
11,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:31:54.502000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
12,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:43:03.719000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,21
13,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:27:10.154000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
14,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:34:24.654000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
15,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:24:35.820000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
16,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-01 19:34:37.514000,0893dd958622c372168847f4b4ec0ef4ffd6ecf0e5c4fc92db82112c30f60126,DOUBLE ELIMINATION 2,2026,23
17,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-01 20:04:47.114000,90ad383158a46a681dc2b164a6a1932953f25b650356d24d40211de23926eb07,DOUBLE ELIMINATION 3,2026,23
18,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-01 20:04:12.549000,90ad383158a46a681dc2b164a6a1932953f25b650356d24d40211de23926eb07,DOUBLE ELIMINATION 3,2026,23
19,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-01 20:14:14.725000,90ad383158a46a681dc2b164a6a1932953f25b650356d24d40211de23926eb07,DOUBLE ELIMINATION 3,2026,22
20,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-01 20:07:39.575000,90ad383158a46a681dc2b164a6a1932953f25b650356d24d40211de23926eb07,DOUBLE ELIMINATION 3,2026,23
21,4,DOUBLE ELIMINATION 4,DOUBLE ELIMINATION 4,COMPLETED,2026-03-01 20:43:57.245000,d6c5a411df32560bd2f939dc8903d0e11d37f6844b0f5e474a268148f0e34ec6,DOUBLE ELIMINATION 4,2026,23
22,4,DOUBLE ELIMINATION 4,DOUBLE ELIMINATION 4,COMPLETED,2026-03-01 20:36:30.980000,d6c5a411df32560bd2f939dc8903d0e11d37f6844b0f5e474a268148f0e34ec6,DOUBLE ELIMINATION 4,2026,23
23,4,DOUBLE ELIMINATION 4,DOUBLE ELIMINATION 4,COMPLETED,2026-03-01 20:40:04.596000,d6c5a411df32560bd2f939dc8903d0e11d37f6844b0f5e474a268148f0e34ec6,DOUBLE ELIMINATION 4,2026,23
24,4,DOUBLE ELIMINATION 4,DOUBLE ELIMINATION 4,COMPLETED,2026-03-01 20:40:59.932000,d6c5a411df32560bd2f939dc8903d0e11d37f6844b0f5e474a268148f0e34ec6,DOUBLE ELIMINATION 4,2026,23
25,5,DOUBLE ELIMINATION 5,DOUBLE ELIMINATION 5,COMPLETED,2026-03-01 21:15:51.434000,9851a2177c625b9b27546960c193be53c0a517ab55dc90e3eda4e80b768b4d77,DOUBLE ELIMINATION 5,2026,23
26,5,DOUBLE ELIMINATION 5,DOUBLE ELIMINATION 5,COMPLETED,2026-03-01 21:10:04.213000,9851a2177c625b9b27546960c193be53c0a517ab55dc90e3eda4e80b768b4d77,DOUBLE ELIMINATION 5,2026,23
27,6,DOUBLE ELIMINATION 6,DOUBLE ELIMINATION 6,COMPLETED,2026-03-01 21:44:04.942000,040b08920e50cf7939e63b91865f451b5a7be5f641d38c563461254e3d8bc8f9,DOUBLE ELIMINATION 6,2026,23
28,6,DOUBLE ELIMINATION 6,DOUBLE ELIMINATION 6,COMPLETED,2026-03-01 21:45:35.765000,040b08920e50cf7939e63b91865f451b5a7be5f641d38c563461254e3d8bc8f9,DOUBLE ELIMINATION 6,2026,23
29,7,DOUBLE ELIMINATION 7,DOUBLE ELIMINATION 7,COMPLETED,2026-03-01 22:31:58.492000,4deefbe99c3eefb71a26f3ced3d0df9528d0ab16ccea7ff13206c54747be8b94,DOUBLE ELIMINATION 7,2026,23
30,8,DOUBLE ELIMINATION 8,DOUBLE ELIMINATION 8,COMPLETED,2026-03-01 23:09:30.496000,37bde8d5c86569451102e31d26c94fba6ad301dc22028626efbcae958dc62bcb,DOUBLE ELIMINATION 8,2026,23
31,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:22:42.153000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,22
32,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:22:56.625000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
33,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:23:51.148000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
34,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:29:28.355000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
35,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:25:04.433000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
36,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:28:20.972000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
37,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:18:33.464000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,22
38,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:27:14.818000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
39,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:27:05.676000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
40,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:25:36.430000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
41,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:29:47.501000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
42,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:22:58.706000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
43,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:21:51.869000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
44,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:25:31.194000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
45,9,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:17:20.750000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
46,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:50.219000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
47,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:58:45.680000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,21
48,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:52:09.501000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
49,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 15:03:08.657000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,21
50,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 15:07:24.066000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
51,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:55:48.618000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
52,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:05.827000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,20
53,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:55:26.173000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,20
54,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:59:41.452000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
55,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:58.620000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
56,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:56:59.297000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
57,10,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:37.328000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
