round_number,round_name,packet_name
1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1
2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2
3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3
4,DOUBLE ELIMINATION 4,DOUBLE ELIMINATION 4
5,DOUBLE ELIMINATION 5,DOUBLE ELIMINATION 5
6,DOUBLE ELIMINATION 6,DOUBLE ELIMINATION 6
7,DOUBLE ELIMINATION 7,DOUBLE ELIMINATION 7
8,DOUBLE ELIMINATION 8,DOUBLE ELIMINATION 8
9,ROUND ROBIN 1,ROUND ROBIN 1
10,ROUND ROBIN 2,ROUND ROBIN 2
11,ROUND ROBIN 3,ROUND ROBIN 3
12,ROUND ROBIN 4,ROUND ROBIN 4
13,ROUND ROBIN 5,ROUND ROBIN 5
