team_id,team_name,school,pool
4,Basis,,
18,Centennial A,,
19,Centennial B,,
1,Centreville HS Team 1,,
2,Eagles A,,
6,Eagles B,,
7,Eagles C,,
10,Gargy Bomy,,
11,Kiruna Scholars,,
13,Montgomery Blair A,,
12,Montgomery Blair B,,
3,North Allegheny,,
17,Pilgrimage Homeschool,,
23,Poolesville 2,,
15,Richard Montgomery,,
25,Shallow Stroll Team B,,
9,Shallow Walk team A,,
5,South Jersey,,
24,The Wilberforce School,,
28,Thomas S Wootton High School team A,,
26,Thomas S Wootton High School team B,,
29,Thomas S Wootton High School team C,,
14,WCHS A,,
30,WCHS B,,
20,WCHS C,,
8,WWPN A,,
27,WWPN B,,
21,Westtown A,,
22,Westtown B,,
16,poolesville village idiots,,
