game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,1,Centreville HS Team 1,36,16,20,4,0,19,2,2,19
1,2,2,Eagles A,144,64,80,17,1,5,8,9,6
2,1,1,Centreville HS Team 1,48,28,20,7,0,16,2,3,18
2,2,3,Richard Montgomery,110,40,70,11,1,11,7,3,13
3,1,4,North Allegheny,130,40,90,11,1,11,9,2,12
3,2,5,Basis,76,16,60,6,2,15,6,0,17
4,1,6,South Jersey,108,28,80,11,4,8,8,3,12
4,2,7,Eagles B,66,16,50,6,2,15,5,1,17
5,1,8,Eagles C,18,8,10,3,1,19,1,2,20
5,2,9,WWPN A,156,56,100,16,2,5,10,6,7
6,1,10,Shallow Walk team A,128,48,80,13,1,9,8,5,10
6,2,11,Gargy Bomy,64,4,60,7,6,10,6,1,16
7,1,12,Kiruna Scholars,102,32,70,11,3,8,7,4,11
7,2,13,Montgomery Blair B,72,12,60,8,5,9,6,2,14
8,1,14,Montgomery Blair A,240,80,160,21,1,1,16,5,2
8,2,15,WCHS A,-38,-48,10,1,13,9,1,0,22
9,1,3,Richard Montgomery,92,32,60,9,1,12,6,3,13
9,2,16,poolesville village idiots,120,40,80,12,2,8,8,4,10
10,1,8,Eagles C,72,32,40,8,0,15,4,4,15
10,2,5,Basis,76,36,40,9,0,14,4,5,14
11,1,16,poolesville village idiots,54,24,30,6,0,17,3,3,17
11,2,2,Eagles A,128,48,80,12,0,11,8,4,11
12,1,7,Eagles B,26,16,10,5,1,15,1,4,16
12,2,13,Montgomery Blair B,100,40,60,11,1,9,6,5,10
13,1,11,Gargy Bomy,88,28,60,11,4,8,6,5,12
13,2,15,WCHS A,8,8,0,3,1,19,0,3,20
14,1,12,Kiruna Scholars,120,40,80,11,1,11,8,3,12
14,2,6,South Jersey,96,36,60,10,1,12,6,4,13
15,1,14,Montgomery Blair A,126,36,90,12,3,8,9,3,11
15,2,10,Shallow Walk team A,66,16,50,7,3,13,5,2,16
16,1,9,WWPN A,106,36,70,12,3,8,7,5,11
16,2,4,North Allegheny,102,32,70,9,1,13,7,2,14
17,1,16,poolesville village idiots,78,28,50,10,3,10,5,5,13
17,2,5,Basis,44,24,20,6,0,17,2,3,18
18,1,11,Gargy Bomy,64,24,40,9,3,11,4,5,14
18,2,6,South Jersey,102,32,70,10,2,11,7,3,13
19,1,10,Shallow Walk team A,62,32,30,11,3,8,3,8,11
19,2,13,Montgomery Blair B,58,8,50,8,6,8,5,3,14
20,1,4,North Allegheny,32,12,20,6,3,14,2,4,17
20,2,3,Richard Montgomery,108,48,60,12,0,11,6,6,11
21,1,12,Kiruna Scholars,90,40,50,10,0,13,5,5,13
21,2,2,Eagles A,96,36,60,10,1,12,6,4,13
22,1,14,Montgomery Blair A,76,36,40,11,2,10,4,7,12
22,2,9,WWPN A,62,32,30,10,2,11,3,7,13
23,1,3,Richard Montgomery,82,32,50,9,1,13,5,4,14
23,2,10,Shallow Walk team A,34,24,10,6,0,17,1,5,17
24,1,6,South Jersey,78,28,50,10,3,10,5,5,13
24,2,16,poolesville village idiots,40,20,20,7,2,14,2,5,16
25,1,12,Kiruna Scholars,62,12,50,7,4,12,5,2,16
25,2,3,Richard Montgomery,54,24,30,8,2,13,3,5,15
26,1,6,South Jersey,82,32,50,8,0,15,5,3,15
26,2,9,WWPN A,100,40,60,12,2,9,6,6,11
27,1,14,Montgomery Blair A,84,44,40,12,1,10,4,8,11
27,2,2,Eagles A,62,32,30,9,1,13,3,6,14
28,1,12,Kiruna Scholars,84,44,40,11,0,12,4,7,12
28,2,9,WWPN A,54,24,30,8,2,13,3,5,15
29,1,12,Kiruna Scholars,24,24,0,6,0,17,0,6,17
29,2,2,Eagles A,52,32,20,8,0,15,2,6,15
30,1,2,Eagles A,46,16,30,5,1,17,3,2,18
30,2,14,Montgomery Blair A,104,44,60,12,1,10,6,6,11
