rank,team_id,name,wins,losses,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,13,Montgomery Blair A,5,0,126.0,68,8,39,115,68,390,5.735294117647059
2,2,Eagles A,4,2,88.0,61,4,73,138,61,300,4.918032786885246
3,11,Kiruna Scholars,4,2,80.33333333333333,56,8,73,137,56,290,5.178571428571429
4,8,WWPN A,3,2,95.6,58,11,46,115,58,290,5.0
5,5,South Jersey,3,2,93.2,49,10,56,115,49,310,6.326530612244898
6,15,Richard Montgomery,3,2,89.2,49,5,60,114,49,270,5.510204081632653
7,16,poolesville village idiots,2,2,73.0,35,7,49,91,35,180,5.142857142857143
8,9,Shallow Walk team A,2,2,72.5,37,7,47,91,37,170,4.594594594594595
9,3,North Allegheny,1,2,88.0,26,5,38,69,26,180,6.923076923076923
10,12,Montgomery Blair B,1,2,76.66666666666667,27,12,26,65,27,170,6.296296296296297
11,10,Gargy Bomy,1,2,72.0,27,13,29,69,27,160,5.925925925925926
12,4,Basis,1,2,65.33333333333333,21,2,46,69,21,120,5.714285714285714
13,6,Eagles B,0,2,46.0,11,3,30,44,11,60,5.454545454545454
14,7,Eagles C,0,2,45.0,11,1,34,46,11,50,4.545454545454546
15,1,Centreville HS Team 1,0,2,42.0,11,0,35,46,11,40,3.6363636363636362
16,14,WCHS A,0,2,-15.0,4,14,28,46,4,10,2.5
