rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,6,South Jersey,5,28.0,13,3,4,20,13,100,7.6923076923076925
2,3,Richard Montgomery,5,24.8,12,1,7,20,12,80,6.666666666666667
3,13,Montgomery Blair B,3,22.666666666666668,9,2,1,12,9,40,4.444444444444445
4,14,Montgomery Blair A,5,21.2,16,2,2,20,16,50,3.125
5,4,North Allegheny,3,17.333333333333332,6,3,3,12,6,40,6.666666666666667
6,12,Kiruna Scholars,6,12.0,9,1,14,24,9,40,4.444444444444445
7,9,WWPN A,5,7.6,6,4,10,20,6,30,5.0
8,2,Eagles A,6,7.333333333333333,6,0,18,24,6,20,3.3333333333333335
9,16,poolesville village idiots,4,7.0,4,2,10,16,4,20,5.0
10,1,Centreville HS Team 1,2,7.0,1,0,7,8,1,10,10.0
11,10,Shallow Walk team A,4,6.5,5,1,10,16,5,10,2.0
12,11,Gargy Bomy,3,6.0,2,0,10,12,2,10,5.0
13,8,Eagles C,2,4.0,2,0,6,8,2,0,0.0
14,5,Basis,3,1.3333333333333333,1,0,11,12,1,0,0.0
15,7,Eagles B,2,0.0,0,0,8,8,0,0,
16,15,WCHS A,2,-6.0,0,3,5,8,0,0,
