rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,8,WWPN A,5,25.6,13,1,6,20,13,80,6.153846153846154
2,10,Gargy Bomy,3,22.666666666666668,8,1,3,12,8,40,5.0
3,4,Basis,3,20.0,5,0,7,12,5,40,8.0
4,13,Montgomery Blair A,5,18.0,11,1,8,20,11,50,4.545454545454546
5,2,Eagles A,6,17.0,11,3,10,24,11,70,6.363636363636363
6,11,Kiruna Scholars,6,13.666666666666666,10,2,11,23,10,50,5.0
7,3,North Allegheny,3,10.666666666666666,3,0,9,12,3,20,6.666666666666667
8,5,South Jersey,5,10.0,6,1,13,20,6,30,5.0
9,6,Eagles B,2,9.0,3,1,4,8,3,10,3.3333333333333335
10,12,Montgomery Blair B,3,7.333333333333333,3,0,8,11,3,10,3.3333333333333335
11,7,Eagles C,2,7.0,2,1,5,8,2,10,5.0
12,16,poolesville village idiots,4,4.5,3,1,11,15,3,10,3.3333333333333335
13,1,Centreville HS Team 1,2,4.0,2,0,6,8,2,0,0.0
14,15,Richard Montgomery,5,3.6,3,1,15,19,3,10,3.3333333333333335
15,9,Shallow Walk team A,4,3.5,3,2,11,16,3,10,3.3333333333333335
16,14,WCHS A,2,-6.0,0,3,5,8,0,0,
