rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,14,Montgomery Blair A,5,28.0,11,1,8,20,11,100,9.090909090909092
2,13,Montgomery Blair B,3,26.666666666666668,6,1,4,11,6,60,10.0
3,10,Shallow Walk team A,4,22.0,8,1,6,15,8,60,7.5
4,4,North Allegheny,3,20.0,5,0,7,12,5,40,8.0
5,6,South Jersey,5,18.8,8,2,10,20,8,70,8.75
6,9,WWPN A,5,18.4,9,1,10,20,9,60,6.666666666666667
7,7,Eagles B,2,16.0,4,1,3,8,4,20,5.0
8,12,Kiruna Scholars,6,15.0,11,1,12,24,11,50,4.545454545454546
9,2,Eagles A,6,11.666666666666666,10,0,14,24,10,30,3.0
10,11,Gargy Bomy,3,11.333333333333334,4,3,5,12,4,30,7.5
11,3,Richard Montgomery,5,11.2,5,1,14,20,5,40,8.0
12,5,Basis,3,8.666666666666666,4,0,8,12,4,10,2.5
13,16,poolesville village idiots,4,4.5,3,1,12,16,3,10,3.3333333333333335
14,1,Centreville HS Team 1,2,4.0,2,0,6,8,2,0,0.0
15,8,Eagles C,2,4.0,2,0,6,8,2,0,0.0
16,15,WCHS A,2,-2.0,1,2,5,8,1,0,0.0
