rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,16,poolesville village idiots,4,27.5,10,0,6,16,10,70,7.0
2,2,Eagles A,6,26.666666666666668,15,0,9,24,15,100,6.666666666666667
3,8,Eagles C,2,21.0,3,0,5,8,3,30,10.0
4,14,Montgomery Blair A,5,18.0,7,2,11,20,7,70,10.0
5,1,Centreville HS Team 1,2,18.0,4,0,4,8,4,20,5.0
6,12,Kiruna Scholars,6,15.333333333333334,10,2,12,24,10,60,6.0
7,4,North Allegheny,3,14.0,5,2,5,12,5,30,6.0
8,6,South Jersey,5,13.6,10,3,7,20,10,40,4.0
9,9,WWPN A,5,13.6,9,2,9,20,9,40,4.444444444444445
10,10,Shallow Walk team A,4,11.0,8,2,6,16,8,20,2.5
11,5,Basis,3,9.333333333333334,4,2,6,12,4,20,5.0
12,3,Richard Montgomery,5,8.8,7,1,12,20,7,20,2.857142857142857
13,11,Gargy Bomy,3,8.666666666666666,3,4,5,12,3,30,10.0
14,13,Montgomery Blair B,3,6.0,3,6,2,11,3,30,10.0
15,15,WCHS A,2,5.0,2,2,4,8,2,10,5.0
16,7,Eagles B,2,-2.0,0,1,6,7,0,0,
