game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,1,Pilgrimage Homeschool,30,20,10,5,0,17,1,3,18
1,2,2,Basis,142,52,90,13,0,9,9,3,10
2,1,3,Eagles C,110,40,70,10,0,13,7,3,13
2,2,4,Centennial A,106,36,70,11,2,10,7,4,12
3,1,5,Kiruna Scholars,220,60,160,17,2,4,16,1,6
3,2,6,Centennial B,28,8,20,3,1,19,2,1,20
4,1,7,Centreville HS Team 1,18,8,10,2,0,21,1,1,21
4,2,8,Richard Montgomery,222,72,150,19,1,3,15,4,4
5,1,9,Eagles A,232,72,160,19,1,3,16,3,4
5,2,10,WCHS C,0,0,0,0,0,23,0,0,23
6,1,11,Eagles B,136,36,100,12,3,8,10,2,11
6,2,12,Westtown A,68,28,40,7,0,16,4,3,16
7,1,13,Gargy Bomy,230,60,170,18,3,1,17,1,4
7,2,14,Westtown B,22,12,10,3,0,19,1,2,19
8,1,15,Montgomery Blair A,214,64,150,16,0,7,15,1,7
8,2,16,Shallow Walk team A,30,0,30,5,5,13,3,2,18
9,1,17,North Allegheny,156,56,100,14,0,9,10,4,9
9,2,18,Montgomery Blair B,112,32,80,9,1,13,8,1,14
10,1,19,Poolesville 2,48,28,20,7,0,16,2,5,16
10,2,20,The Wilberforce School,186,56,130,14,0,9,13,1,9
11,1,21,Shallow Stroll Team B,68,28,40,8,1,14,4,4,15
11,2,22,Thomas S Wootton High School team B,46,36,10,9,0,14,1,8,14
12,1,23,WWPN B,40,20,20,5,0,18,2,3,18
12,2,24,South Jersey,174,44,130,14,3,6,13,1,9
13,1,25,WWPN A,214,64,150,18,2,3,15,3,5
13,2,26,Thomas S Wootton High School team A,32,12,20,3,0,20,2,1,20
14,1,27,WCHS A,118,48,70,13,1,9,7,6,10
14,2,28,Thomas S Wootton High School team C,26,16,10,4,0,19,1,3,19
15,1,29,poolesville village idiots,190,60,130,16,1,6,13,3,7
15,2,30,WCHS B,0,0,0,0,0,23,0,0,23
16,1,5,Kiruna Scholars,226,76,150,20,1,2,15,5,3
16,2,2,Basis,18,8,10,2,0,21,1,1,21
17,1,26,Thomas S Wootton High School team A,78,28,50,10,3,8,5,5,11
17,2,4,Centennial A,108,28,80,8,1,12,8,0,13
18,1,6,Centennial B,4,4,0,1,0,22,0,1,22
18,2,24,South Jersey,240,60,180,18,3,2,18,0,5
19,1,7,Centreville HS Team 1,138,48,90,13,1,7,9,4,8
19,2,21,Shallow Stroll Team B,16,-4,20,4,5,12,2,2,17
20,1,9,Eagles A,168,48,120,14,2,7,12,2,9
20,2,8,Richard Montgomery,98,28,70,8,1,14,7,1,15
21,1,17,North Allegheny,152,52,100,14,1,8,10,4,9
21,2,11,Eagles B,78,28,50,9,2,12,5,4,14
22,1,3,Eagles C,146,56,90,15,1,4,9,6,5
22,2,14,Westtown B,28,8,20,3,1,16,2,1,17
23,1,13,Gargy Bomy,98,28,70,10,3,7,7,3,10
23,2,25,WWPN A,106,36,70,9,0,11,7,2,11
24,1,15,Montgomery Blair A,252,92,160,23,0,0,16,7,0
24,2,20,The Wilberforce School,-4,-4,0,0,1,22,0,0,23
25,1,30,WCHS B,-4,-4,0,0,1,22,0,0,23
25,2,18,Montgomery Blair B,212,72,140,19,1,3,14,5,4
26,1,1,Pilgrimage Homeschool,36,16,20,4,0,19,2,2,19
26,2,23,WWPN B,84,44,40,12,1,10,4,8,11
27,1,19,Poolesville 2,-12,-12,0,0,3,20,0,0,23
27,2,27,WCHS A,110,40,70,13,3,7,7,6,10
28,1,16,Shallow Walk team A,230,80,150,20,0,3,15,5,3
28,2,28,Thomas S Wootton High School team C,0,0,0,0,0,23,0,0,23
29,1,22,Thomas S Wootton High School team B,104,44,60,11,0,12,6,5,12
29,2,10,WCHS C,26,16,10,4,0,19,1,3,19
30,1,29,poolesville village idiots,160,60,100,15,0,8,10,5,8
30,2,12,Westtown A,52,32,20,8,0,15,2,6,15
31,1,2,Basis,114,44,70,12,1,9,7,5,10
31,2,23,WWPN B,46,16,30,5,1,16,3,2,17
32,1,4,Centennial A,70,20,50,9,4,10,5,4,14
32,2,14,Westtown B,54,24,30,6,0,17,3,3,17
33,1,1,Pilgrimage Homeschool,40,20,20,5,0,18,2,3,18
33,2,6,Centennial B,38,28,10,8,1,14,1,7,15
34,1,9,Eagles A,196,56,140,17,3,0,14,3,3
34,2,7,Centreville HS Team 1,14,4,10,2,1,17,1,1,18
35,1,18,Montgomery Blair B,82,32,50,12,4,7,5,7,11
35,2,11,Eagles B,88,28,60,7,0,16,6,1,16
36,1,25,WWPN A,186,56,130,18,4,1,13,5,5
36,2,3,Eagles C,42,12,30,4,1,18,3,1,19
37,1,13,Gargy Bomy,112,32,80,11,3,8,8,3,11
37,2,26,Thomas S Wootton High School team A,28,8,20,4,2,16,2,2,18
38,1,5,Kiruna Scholars,116,36,80,11,2,10,8,3,12
38,2,24,South Jersey,146,36,110,11,2,10,11,0,12
39,1,15,Montgomery Blair A,294,84,210,21,0,2,21,0,2
39,2,28,Thomas S Wootton High School team C,0,0,0,0,0,23,0,0,23
40,1,29,poolesville village idiots,112,32,80,9,1,13,8,1,14
40,2,17,North Allegheny,150,40,110,13,3,7,11,2,10
41,1,16,Shallow Walk team A,154,64,90,17,1,5,9,8,6
41,2,19,Poolesville 2,22,12,10,3,0,20,1,2,20
42,1,8,Richard Montgomery,174,64,110,17,1,4,11,6,5
42,2,22,Thomas S Wootton High School team B,8,8,0,3,1,18,0,3,19
43,1,21,Shallow Stroll Team B,54,24,30,8,2,13,3,5,15
43,2,10,WCHS C,12,12,0,3,0,20,0,3,20
44,1,20,The Wilberforce School,62,32,30,8,0,14,3,4,15
44,2,27,WCHS A,80,40,40,11,1,10,4,6,12
45,1,30,WCHS B,0,0,0,1,1,21,0,1,22
45,2,12,Westtown A,114,44,70,13,2,8,7,6,10
46,1,2,Basis,126,56,70,14,0,9,7,7,9
46,2,6,Centennial B,8,8,0,3,1,19,0,3,20
47,1,4,Centennial A,12,12,0,3,0,20,0,3,20
47,2,25,WWPN A,192,52,140,15,2,6,14,1,8
48,1,7,Centreville HS Team 1,98,48,50,12,0,11,5,7,11
48,2,22,Thomas S Wootton High School team B,30,20,10,5,0,18,1,4,18
49,1,9,Eagles A,204,64,140,16,0,7,14,2,7
49,2,21,Shallow Stroll Team B,-2,-12,10,3,6,14,1,2,20
50,1,30,WCHS B,26,16,10,4,0,19,1,3,19
50,2,11,Eagles B,66,36,30,10,1,12,3,7,13
51,1,13,Gargy Bomy,162,52,110,15,2,6,11,4,8
51,2,3,Eagles C,50,20,30,5,0,18,3,2,18
52,1,5,Kiruna Scholars,138,48,90,15,3,5,9,6,8
52,2,23,WWPN B,42,12,30,6,3,14,3,3,17
53,1,15,Montgomery Blair A,228,68,160,19,2,2,16,3,4
53,2,27,WCHS A,-12,-12,0,0,3,20,0,0,23
54,1,29,poolesville village idiots,88,28,60,10,3,10,6,4,13
54,2,18,Montgomery Blair B,116,36,80,9,0,14,8,1,14
55,1,12,Westtown A,22,12,10,4,1,18,1,3,19
55,2,17,North Allegheny,144,44,100,13,2,8,10,3,10
56,1,1,Pilgrimage Homeschool,14,4,10,1,0,22,1,0,22
56,2,24,South Jersey,192,52,140,16,3,4,14,2,7
57,1,28,Thomas S Wootton High School team C,12,12,0,3,0,20,0,3,20
57,2,19,Poolesville 2,30,20,10,7,2,14,1,6,16
58,1,8,Richard Montgomery,160,60,100,16,1,6,10,6,7
58,2,10,WCHS C,4,4,0,1,0,22,0,0,23
59,1,20,The Wilberforce School,42,12,30,5,2,16,3,2,18
59,2,16,Shallow Walk team A,162,52,110,14,1,8,11,3,9
60,1,26,Thomas S Wootton High School team A,56,36,20,10,1,12,2,8,13
60,2,14,Westtown B,14,4,10,4,3,16,1,3,19
61,1,2,Basis,70,20,50,6,1,16,5,1,17
61,2,24,South Jersey,138,48,90,15,3,5,9,6,8
62,1,13,Gargy Bomy,102,32,70,12,4,7,7,5,11
62,2,4,Centennial A,44,24,20,6,0,17,2,4,17
63,1,23,WWPN B,58,28,30,7,0,16,3,4,16
63,2,6,Centennial B,58,28,30,7,0,16,3,4,16
64,1,7,Centreville HS Team 1,76,36,40,10,1,12,4,6,13
64,2,10,WCHS C,22,12,10,3,0,20,1,2,20
65,1,22,Thomas S Wootton High School team B,14,4,10,1,0,22,1,0,22
65,2,9,Eagles A,156,36,120,14,5,4,12,2,9
66,1,11,Eagles B,50,20,30,8,3,12,3,5,15
66,2,29,poolesville village idiots,170,60,110,15,0,8,11,4,8
67,1,26,Thomas S Wootton High School team A,22,12,10,4,1,16,1,3,17
67,2,3,Eagles C,104,44,60,12,1,8,6,6,9
68,1,5,Kiruna Scholars,186,56,130,17,3,3,13,4,6
68,2,1,Pilgrimage Homeschool,8,8,0,3,1,19,0,3,20
69,1,15,Montgomery Blair A,216,76,140,20,1,2,14,6,3
69,2,19,Poolesville 2,18,8,10,2,0,21,1,1,21
70,1,12,Westtown A,80,20,60,7,2,14,6,1,16
70,2,18,Montgomery Blair B,110,40,70,13,3,7,7,6,10
71,1,30,WCHS B,12,12,0,3,0,20,0,3,20
71,2,17,North Allegheny,98,28,70,12,5,6,7,5,11
72,1,21,Shallow Stroll Team B,14,4,10,4,3,16,1,3,19
72,2,8,Richard Montgomery,142,52,90,14,1,8,9,5,9
73,1,16,Shallow Walk team A,80,40,40,12,2,9,4,8,11
73,2,27,WCHS A,8,8,0,3,1,19,0,2,21
74,1,28,Thomas S Wootton High School team C,30,20,10,5,0,18,1,4,18
74,2,20,The Wilberforce School,74,24,50,8,2,13,5,3,15
75,1,14,Westtown B,-4,-4,0,0,1,22,0,0,23
75,2,25,WWPN A,148,48,100,15,3,5,10,5,8
