game_id,slot,team_id,team_name,category,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,1,Pilgrimage Homeschool,BIOLOGY,8,10,2,0,2,1,1,2
1,1,1,Pilgrimage Homeschool,CHEMISTRY,4,0,1,0,3,0,1,3
1,1,1,Pilgrimage Homeschool,EARTH_SPACE,4,0,1,0,3,0,1,3
1,1,1,Pilgrimage Homeschool,ENERGY,4,0,1,0,2,0,0,3
1,1,1,Pilgrimage Homeschool,MATH,0,0,0,0,4,0,0,4
1,1,1,Pilgrimage Homeschool,PHYSICS,0,0,0,0,3,0,0,3
1,2,2,Basis,BIOLOGY,8,0,2,0,2,0,2,2
1,2,2,Basis,CHEMISTRY,12,30,3,0,1,3,0,1
1,2,2,Basis,EARTH_SPACE,4,10,1,0,3,1,0,3
1,2,2,Basis,ENERGY,8,10,2,0,1,1,1,1
1,2,2,Basis,MATH,8,20,2,0,2,2,0,2
1,2,2,Basis,PHYSICS,12,20,3,0,0,2,0,1
2,1,3,Eagles C,BIOLOGY,0,0,0,0,4,0,0,4
2,1,3,Eagles C,CHEMISTRY,4,0,1,0,3,0,1,3
2,1,3,Eagles C,EARTH_SPACE,12,30,3,0,1,3,0,1
2,1,3,Eagles C,ENERGY,4,10,1,0,2,1,0,2
2,1,3,Eagles C,MATH,12,20,3,0,1,2,1,1
2,1,3,Eagles C,PHYSICS,8,10,2,0,2,1,1,2
2,2,4,Centennial A,BIOLOGY,16,30,4,0,0,3,1,0
2,2,4,Centennial A,CHEMISTRY,8,20,3,1,0,2,1,1
2,2,4,Centennial A,EARTH_SPACE,0,0,0,0,4,0,0,4
2,2,4,Centennial A,ENERGY,8,20,2,0,1,2,0,1
2,2,4,Centennial A,MATH,-4,0,0,1,3,0,0,4
2,2,4,Centennial A,PHYSICS,8,0,2,0,2,0,2,2
3,1,5,Kiruna Scholars,BIOLOGY,4,20,2,1,1,2,0,2
3,1,5,Kiruna Scholars,CHEMISTRY,16,40,4,0,0,4,0,0
3,1,5,Kiruna Scholars,EARTH_SPACE,8,30,3,1,0,3,0,1
3,1,5,Kiruna Scholars,ENERGY,4,10,1,0,2,1,0,2
3,1,5,Kiruna Scholars,MATH,12,30,3,0,1,3,0,1
3,1,5,Kiruna Scholars,PHYSICS,16,30,4,0,0,3,1,0
3,2,6,Centennial B,BIOLOGY,4,10,1,0,3,1,0,3
3,2,6,Centennial B,CHEMISTRY,0,0,0,0,4,0,0,4
3,2,6,Centennial B,EARTH_SPACE,-4,0,0,1,3,0,0,4
3,2,6,Centennial B,ENERGY,8,10,2,0,1,1,1,1
3,2,6,Centennial B,MATH,0,0,0,0,4,0,0,4
3,2,6,Centennial B,PHYSICS,0,0,0,0,4,0,0,4
4,1,7,Centreville HS Team 1,BIOLOGY,0,0,0,0,4,0,0,4
4,1,7,Centreville HS Team 1,CHEMISTRY,0,0,0,0,4,0,0,4
4,1,7,Centreville HS Team 1,EARTH_SPACE,4,0,1,0,3,0,1,3
4,1,7,Centreville HS Team 1,ENERGY,0,0,0,0,3,0,0,3
4,1,7,Centreville HS Team 1,MATH,4,10,1,0,3,1,0,3
4,1,7,Centreville HS Team 1,PHYSICS,0,0,0,0,4,0,0,4
4,2,8,Richard Montgomery,BIOLOGY,12,30,3,0,1,3,0,1
4,2,8,Richard Montgomery,CHEMISTRY,16,40,4,0,0,4,0,0
4,2,8,Richard Montgomery,EARTH_SPACE,4,20,2,1,1,2,0,2
4,2,8,Richard Montgomery,ENERGY,12,20,3,0,0,2,1,0
4,2,8,Richard Montgomery,MATH,12,20,3,0,1,2,1,1
4,2,8,Richard Montgomery,PHYSICS,16,20,4,0,0,2,2,0
5,1,9,Eagles A,BIOLOGY,4,10,2,1,1,1,1,2
5,1,9,Eagles A,CHEMISTRY,16,40,4,0,0,4,0,0
5,1,9,Eagles A,EARTH_SPACE,12,30,3,0,1,3,0,1
5,1,9,Eagles A,ENERGY,12,20,3,0,0,2,1,0
5,1,9,Eagles A,MATH,12,30,3,0,1,3,0,1
5,1,9,Eagles A,PHYSICS,16,30,4,0,0,3,1,0
5,2,10,WCHS C,BIOLOGY,0,0,0,0,4,0,0,4
5,2,10,WCHS C,CHEMISTRY,0,0,0,0,4,0,0,4
