game_id,round_number,round_name,round_packet_name,status,completed_at,packet_checksum,packet_name,packet_year,pairs_played
1,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:22:42.153000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,22
2,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:22:56.625000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
3,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:23:51.148000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
4,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:29:28.355000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
5,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:25:04.433000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
6,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:28:20.972000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
7,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:18:33.464000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,22
8,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:27:14.818000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
9,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:27:05.676000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
10,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:25:36.430000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
11,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:29:47.501000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
12,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:22:58.706000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
13,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:21:51.869000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
14,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:25:31.194000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
15,1,ROUND ROBIN 1,ROUND ROBIN 1,COMPLETED,2026-03-01 14:17:20.750000,3bada81da048ad84fc5b788b5972f8a5e9b410ab7e9dc41fbcba85b45bd85845,ROUND ROBIN 1,2026,23
16,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:50.219000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
17,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:58:45.680000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,21
18,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:52:09.501000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
19,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 15:03:08.657000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,21
20,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 15:07:24.066000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
21,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:55:48.618000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
22,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:05.827000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,20
23,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:55:26.173000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,20
24,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:59:41.452000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
25,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:58.620000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
26,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:56:59.297000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
27,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:54:37.328000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
28,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:56:54.127000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
29,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 15:02:44.199000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
30,2,ROUND ROBIN 2,ROUND ROBIN 2,COMPLETED,2026-03-01 14:56:55.536000,6eb552720881ba931daa2dd33ff77e36273ee3ec2087b52870f9bedcd5286729,ROUND ROBIN 2,2026,23
