rank,team_id,name,wins,losses,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Montgomery Blair A,5,0,240.8,99,3,13,115,99,820,8.282828282828282
2,9,Eagles A,5,0,191.2,80,11,21,112,80,680,8.5
3,24,South Jersey,5,0,178.0,74,14,27,115,74,650,8.783783783783784
4,25,WWPN A,5,0,169.2,75,11,26,112,75,590,7.866666666666666
5,17,North Allegheny,5,0,140.0,66,11,38,115,66,480,7.2727272727272725
6,5,Kiruna Scholars,4,1,177.2,80,11,24,115,80,610,7.625
7,8,Richard Montgomery,4,1,159.2,74,5,35,114,74,520,7.027027027027027
8,13,Gargy Bomy,4,1,140.8,66,15,29,110,66,500,7.575757575757576
9,16,Shallow Walk team A,4,1,131.2,68,9,38,115,68,420,6.176470588235294
10,29,poolesville village idiots,3,2,144.0,65,5,45,115,65,480,7.384615384615385
11,18,Montgomery Blair B,3,2,126.4,62,9,44,115,62,420,6.774193548387097
12,2,Basis,3,2,94.0,47,2,64,113,47,290,6.170212765957447
13,3,Eagles C,3,2,90.4,46,3,61,110,46,280,6.086956521739131
14,11,Eagles B,3,2,83.6,46,9,60,115,46,270,5.869565217391305
15,7,Centreville HS Team 1,3,2,68.8,39,3,68,110,39,200,5.128205128205129
16,27,WCHS A,3,2,60.8,40,9,65,114,40,180,4.5
17,20,The Wilberforce School,2,3,72.0,35,5,74,114,35,240,6.857142857142857
18,4,Centennial A,2,3,68.0,37,7,69,113,37,220,5.945945945945946
19,21,Shallow Stroll Team B,2,3,30.0,27,17,69,113,27,110,4.074074074074074
20,23,WWPN B,1.5,3.5,54.0,35,5,74,114,35,150,4.285714285714286
21,12,Westtown A,1,4,67.2,39,5,71,115,39,200,5.128205128205129
22,26,Thomas S Wootton High School team A,1,4,43.2,31,7,72,110,31,120,3.870967741935484
23,22,Thomas S Wootton High School team B,1,4,40.4,29,1,84,114,29,90,3.103448275862069
24,1,Pilgrimage Homeschool,1,4,25.6,18,1,95,114,18,60,3.3333333333333335
25,19,Poolesville 2,1,4,21.2,19,5,91,115,19,50,2.6315789473684212
26,6,Centennial B,0.5,4.5,27.2,22,3,90,115,22,60,2.727272727272727
27,14,Westtown B,0,5,22.8,16,5,90,111,16,70,4.375
28,28,Thomas S Wootton High School team C,0,5,13.6,12,0,103,115,12,20,1.6666666666666667
29,10,WCHS C,0,5,12.8,11,0,104,115,11,20,1.8181818181818181
30,30,WCHS B,0,5,6.8,8,2,105,115,8,10,1.25
