rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,5,Kiruna Scholars,5,42.8,16,0,4,20,16,150,9.375
2,9,Eagles A,5,39.6,15,3,2,20,15,150,10.0
3,15,Montgomery Blair A,5,39.2,16,2,2,20,16,140,8.75
4,29,poolesville village idiots,5,39.2,15,1,4,20,15,140,9.333333333333334
5,8,Richard Montgomery,5,35.2,15,1,4,20,15,120,8.0
6,25,WWPN A,5,33.6,13,1,5,19,13,120,9.23076923076923
7,13,Gargy Bomy,5,30.4,14,1,4,19,14,100,7.142857142857143
8,24,South Jersey,5,30.0,12,2,6,20,12,110,9.166666666666666
9,16,Shallow Walk team A,5,24.0,12,2,6,20,12,80,6.666666666666667
10,17,North Allegheny,5,22.4,10,2,8,20,10,80,8.0
11,18,Montgomery Blair B,5,21.6,12,0,8,20,12,60,5.0
12,22,Thomas S Wootton High School team B,5,19.6,12,0,8,20,12,50,4.166666666666667
13,2,Basis,5,19.2,10,1,9,20,10,60,6.0
14,20,The Wilberforce School,5,13.2,5,1,14,20,5,50,10.0
15,23,WWPN B,5,12.8,8,2,10,20,8,40,5.0
16,4,Centennial A,5,12.0,6,1,13,20,6,40,6.666666666666667
17,7,Centreville HS Team 1,5,10.8,7,1,12,20,7,30,4.285714285714286
18,27,WCHS A,5,10.0,6,1,13,20,6,30,5.0
19,6,Centennial B,5,6.8,6,0,14,20,6,10,1.6666666666666667
20,3,Eagles C,5,6.8,6,0,12,18,6,10,1.6666666666666667
21,26,Thomas S Wootton High School team A,5,6.0,7,2,10,19,7,10,1.4285714285714286
22,28,Thomas S Wootton High School team C,5,5.2,4,0,16,20,4,10,2.5
23,30,WCHS B,5,4.4,3,0,17,20,3,10,3.3333333333333335
24,12,Westtown A,5,4.4,4,1,15,20,4,10,2.5
25,21,Shallow Stroll Team B,5,4.0,5,5,10,20,5,20,4.0
26,1,Pilgrimage Homeschool,5,3.2,4,0,16,20,4,0,0.0
27,11,Eagles B,5,2.0,3,3,14,20,3,10,3.3333333333333335
28,14,Westtown B,5,0.8,3,2,14,19,3,0,0.0
29,19,Poolesville 2,5,0.0,3,3,14,20,3,0,0.0
30,10,WCHS C,5,0.0,0,0,20,20,0,0,
