rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Montgomery Blair A,5,33.2,14,0,1,15,14,110,7.857142857142857
2,9,Eagles A,5,29.6,13,1,1,15,13,100,7.6923076923076925
3,25,WWPN A,5,28.0,11,1,3,15,11,100,9.090909090909092
4,13,Gargy Bomy,5,22.4,10,2,3,15,10,80,8.0
5,29,poolesville village idiots,5,22.4,9,1,5,15,9,80,8.88888888888889
6,16,Shallow Walk team A,5,21.2,10,1,4,15,10,70,7.0
7,3,Eagles C,5,20.4,8,0,7,15,8,70,8.75
8,8,Richard Montgomery,5,19.2,10,1,4,15,10,60,6.0
9,18,Montgomery Blair B,5,17.6,9,2,4,15,9,60,6.666666666666667
10,5,Kiruna Scholars,5,16.0,7,2,6,15,7,60,8.571428571428571
11,11,Eagles B,5,15.6,7,0,8,15,7,50,7.142857142857143
12,2,Basis,5,13.6,7,0,8,15,7,40,5.714285714285714
13,17,North Allegheny,5,13.2,6,2,7,15,6,50,8.333333333333334
14,24,South Jersey,5,12.8,6,5,4,15,6,60,10.0
15,4,Centennial A,5,12.4,5,2,8,15,5,50,10.0
16,27,WCHS A,5,12.0,7,2,6,15,7,40,5.714285714285714
17,23,WWPN B,5,10.0,5,0,10,15,5,30,6.0
18,7,Centreville HS Team 1,5,9.2,4,0,11,15,4,30,7.5
19,26,Thomas S Wootton High School team A,5,8.4,5,2,8,15,5,30,6.0
20,12,Westtown A,5,8.0,5,0,10,15,5,20,4.0
21,20,The Wilberforce School,5,7.6,3,1,11,15,3,30,10.0
22,6,Centennial B,5,7.2,5,1,9,15,5,20,4.0
23,19,Poolesville 2,5,5.2,4,0,11,15,4,10,2.5
24,30,WCHS B,5,1.6,2,0,13,15,2,0,0.0
25,10,WCHS C,5,1.6,2,0,13,15,2,0,0.0
26,21,Shallow Stroll Team B,5,1.2,2,3,10,15,2,10,5.0
27,1,Pilgrimage Homeschool,5,0.8,1,0,14,15,1,0,0.0
28,22,Thomas S Wootton High School team B,5,0.8,1,0,14,15,1,0,0.0
29,28,Thomas S Wootton High School team C,5,0.0,0,0,15,15,0,0,
30,14,Westtown B,5,-0.8,0,1,14,15,0,0,
