rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,6,South Jersey,10,37.4,30,4,6,40,30,270,9.0
2,3,Richard Montgomery,10,36.6,30,1,9,40,30,250,8.333333333333334
3,14,Montgomery Blair A,9,35.333333333333336,33,1,2,36,33,190,5.757575757575758
4,18,Centennial A,5,28.0,12,2,5,19,12,100,8.333333333333334
5,13,Montgomery Blair B,8,22.0,19,5,8,32,19,120,6.315789473684211
6,4,North Allegheny,8,21.75,18,7,7,32,18,130,7.222222222222222
7,12,Kiruna Scholars,11,19.454545454545453,21,5,18,44,21,150,7.142857142857143
8,9,WWPN A,10,17.2,18,5,16,39,18,120,6.666666666666667
9,11,Gargy Bomy,8,17.0,13,4,14,31,13,100,7.6923076923076925
10,10,Shallow Walk team A,8,17.0,17,3,12,32,17,80,4.705882352941177
11,21,Westtown A,5,16.8,7,1,12,20,7,60,8.571428571428571
12,7,Eagles B,7,13.428571428571429,11,0,17,28,11,50,4.545454545454546
13,2,Eagles A,11,12.0,16,3,24,43,16,80,5.0
14,1,Centreville HS Team 1,7,9.714285714285714,8,1,17,26,8,40,5.0
15,16,poolesville village idiots,9,8.444444444444445,12,3,21,36,12,40,3.3333333333333335
16,8,Eagles C,7,7.428571428571429,8,0,19,27,8,20,2.5
17,24,The Wilberforce School,5,7.2,5,1,14,20,5,20,4.0
18,15,WCHS A,7,6.857142857142857,8,6,14,28,8,40,5.0
19,29,Thomas S Wootton High School team A,5,6.4,3,0,16,19,3,20,6.666666666666667
20,5,Basis,8,4.75,7,0,25,32,7,10,1.4285714285714286
21,19,Centennial B,5,4.4,3,0,17,20,3,10,3.3333333333333335
22,17,Pilgrimage Homeschool,5,4.4,4,1,15,20,4,10,2.5
23,30,Thomas S Wootton High School team C,5,4.4,3,0,17,20,3,10,3.3333333333333335
24,26,Shallow Stroll Team B,5,3.6,4,2,13,19,4,10,2.5
25,27,Thomas S Wootton High School team B,5,2.4,3,0,17,20,3,0,0.0
26,20,WCHS C,5,2.4,3,0,17,20,3,0,0.0
27,28,WWPN B,5,2.4,4,1,15,20,4,0,0.0
28,22,Westtown B,5,1.6,2,0,17,19,2,0,0.0
29,23,Poolesville 2,5,0.0,1,1,18,20,1,0,0.0
30,25,WCHS B,5,0.0,1,1,18,20,1,0,0.0
