rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Montgomery Blair A,38.666666666666664,20,2,2,24,20,160,8.0
2,13,Kiruna Scholars,38.57142857142857,21,1,6,28,21,190,9.047619047619047
3,17,poolesville village idiots,36.57142857142857,21,2,5,28,21,180,8.571428571428571
4,2,Eagles A,33.42857142857143,19,3,6,28,19,170,8.947368421052632
5,4,Richard Montgomery,31.142857142857142,18,1,9,28,18,150,8.333333333333334
6,10,WWPN A,30.857142857142858,20,1,6,27,20,140,7.0
7,11,Shallow Walk team A,24.666666666666668,14,2,8,24,14,100,7.142857142857143
8,12,Gargy Bomy,24.571428571428573,17,4,6,27,17,120,7.0588235294117645
9,7,South Jersey,22.571428571428573,15,3,10,28,15,110,7.333333333333333
10,5,North Allegheny,20.571428571428573,13,2,13,28,13,100,7.6923076923076925
11,28,Thomas S Wootton High School team B,19.6,12,0,8,20,12,50,4.166666666666667
12,14,Montgomery Blair B,16.571428571428573,14,0,13,27,14,60,4.285714285714286
13,6,Basis,14.285714285714286,11,1,16,28,11,60,5.454545454545454
14,25,The Wilberforce School,13.2,5,1,14,20,5,50,10.0
15,29,WWPN B,12.8,8,2,10,20,8,40,5.0
16,19,Centennial A,12.0,6,1,13,20,6,40,6.666666666666667
17,3,Centreville HS Team 1,9.666666666666666,8,1,15,24,8,30,3.75
18,9,Eagles C,6.857142857142857,7,0,19,26,7,20,2.857142857142857
19,20,Centennial B,6.8,6,0,14,20,6,10,1.6666666666666667
20,16,WCHS A,6.571428571428571,7,3,18,28,7,30,4.285714285714286
21,30,Thomas S Wootton High School team A,6.0,7,2,10,19,7,10,1.4285714285714286
22,31,Thomas S Wootton High School team C,5.2,4,0,16,20,4,10,2.5
23,26,WCHS B,4.4,3,0,17,20,3,10,3.3333333333333335
24,22,Westtown A,4.4,4,1,15,20,4,10,2.5
25,27,Shallow Stroll Team B,4.0,5,5,10,20,5,20,4.0
26,18,Pilgrimage Homeschool,3.2,4,0,16,20,4,0,0.0
27,8,Eagles B,2.0,4,3,20,27,4,10,2.5
28,23,Westtown B,0.8,3,2,14,19,3,0,0.0
29,1,Centre,0.0,0,0,4,4,0,0,
30,24,Poolesville 2,0.0,3,3,14,20,3,0,0.0
31,21,WCHS C,0.0,0,0,20,20,0,0,
