rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Montgomery Blair A,33.0,17,0,1,18,17,130,7.647058823529412
2,2,Eagles A,29.142857142857142,17,1,3,21,17,140,8.235294117647058
3,10,WWPN A,24.571428571428573,15,2,4,21,15,120,8.0
4,11,Shallow Walk team A,22.333333333333332,12,1,5,18,12,90,7.5
5,12,Gargy Bomy,20.0,13,3,5,21,13,100,7.6923076923076925
6,4,Richard Montgomery,19.428571428571427,15,1,5,21,15,80,5.333333333333333
7,17,poolesville village idiots,18.571428571428573,11,1,9,21,11,90,8.181818181818182
8,6,Basis,17.714285714285715,11,0,10,21,11,80,7.2727272727272725
9,8,Eagles B,17.142857142857142,10,0,11,21,10,80,8.0
10,7,South Jersey,17.142857142857142,10,5,6,21,10,100,10.0
11,14,Montgomery Blair B,16.571428571428573,12,3,6,21,12,80,6.666666666666667
12,5,North Allegheny,15.428571428571429,9,2,10,21,9,80,8.88888888888889
13,9,Eagles C,15.142857142857142,9,0,12,21,9,70,7.777777777777778
14,1,Centre,14.0,1,0,2,3,1,10,10.0
15,13,Kiruna Scholars,13.428571428571429,8,2,11,21,8,70,8.75
16,19,Centennial A,12.4,5,2,8,15,5,50,10.0
17,29,WWPN B,10.0,5,0,10,15,5,30,6.0
18,30,Thomas S Wootton High School team A,8.4,5,2,8,15,5,30,6.0
19,22,Westtown A,8.0,5,0,10,15,5,20,4.0
20,3,Centreville HS Team 1,7.666666666666667,4,0,14,18,4,30,7.5
21,25,The Wilberforce School,7.6,3,1,11,15,3,30,10.0
22,16,WCHS A,7.428571428571429,7,4,10,21,7,40,5.714285714285714
23,20,Centennial B,7.2,5,1,9,15,5,20,4.0
24,24,Poolesville 2,5.2,4,0,11,15,4,10,2.5
25,26,WCHS B,1.6,2,0,13,15,2,0,0.0
26,21,WCHS C,1.6,2,0,13,15,2,0,0.0
27,27,Shallow Stroll Team B,1.2,2,3,10,15,2,10,5.0
28,18,Pilgrimage Homeschool,0.8,1,0,14,15,1,0,0.0
29,28,Thomas S Wootton High School team B,0.8,1,0,14,15,1,0,0.0
30,31,Thomas S Wootton High School team C,0.0,0,0,15,15,0,0,
31,23,Westtown B,-0.8,0,1,14,15,0,0,
