rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,14,Montgomery Blair A,6,48.0,22,0,2,24,22,200,9.090909090909092
2,4,North Allegheny,7,31.142857142857142,17,0,11,28,17,150,8.823529411764707
3,6,South Jersey,7,27.142857142857142,17,2,9,28,17,130,7.647058823529412
4,10,Shallow Walk team A,6,26.333333333333332,13,1,10,24,13,110,8.461538461538462
5,13,Montgomery Blair B,7,24.285714285714285,16,1,11,28,16,110,6.875
6,9,WWPN A,7,22.571428571428573,15,3,9,27,15,110,7.333333333333333
7,2,Eagles A,7,21.714285714285715,15,2,10,27,15,100,6.666666666666667
8,28,WWPN B,5,19.2,9,0,10,19,9,60,6.666666666666667
9,11,Gargy Bomy,7,17.714285714285715,12,6,8,26,12,100,8.333333333333334
10,3,Richard Montgomery,7,17.714285714285715,13,2,12,27,13,80,6.153846153846154
11,12,Kiruna Scholars,7,16.285714285714285,14,3,11,28,14,70,5.0
12,21,Westtown A,5,15.6,9,2,9,20,9,50,5.555555555555555
13,8,Eagles C,7,14.285714285714286,10,0,16,26,10,60,6.0
14,16,poolesville village idiots,7,14.0,12,0,16,28,12,50,4.166666666666667
15,24,The Wilberforce School,5,13.6,7,0,12,19,7,40,5.714285714285714
16,7,Eagles B,7,12.571428571428571,11,4,13,28,11,60,5.454545454545454
17,5,Basis,7,11.714285714285714,9,1,17,27,9,50,5.555555555555555
18,1,Centreville HS Team 1,7,8.857142857142858,9,1,16,26,9,30,3.3333333333333335
19,23,Poolesville 2,5,8.0,5,0,15,20,5,20,4.0
20,27,Thomas S Wootton High School team B,5,6.8,6,0,13,19,6,10,1.6666666666666667
21,15,WCHS A,7,6.285714285714286,9,3,15,27,9,20,2.2222222222222223
22,18,Centennial A,5,5.2,5,1,13,19,5,10,2.0
23,26,Shallow Stroll Team B,5,3.2,3,4,12,19,3,20,6.666666666666667
24,29,Thomas S Wootton High School team A,5,3.2,4,0,13,17,4,0,0.0
25,19,Centennial B,5,2.4,4,1,15,20,4,0,0.0
26,20,WCHS C,5,1.6,2,0,18,20,2,0,0.0
27,17,Pilgrimage Homeschool,5,0.8,1,0,19,20,1,0,0.0
28,30,Thomas S Wootton High School team C,5,0.8,1,0,19,20,1,0,0.0
29,25,WCHS B,5,0.8,1,0,19,20,1,0,0.0
30,22,Westtown B,5,0.8,3,2,14,19,3,0,0.0
