rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,2,Eagles A,9,34.44444444444444,26,1,9,36,26,210,8.076923076923077
2,16,poolesville village idiots,9,32.44444444444444,25,2,9,36,25,200,8.0
3,14,Montgomery Blair A,8,32.0,21,2,9,32,21,180,8.571428571428571
4,12,Kiruna Scholars,10,28.6,27,3,10,40,27,190,7.037037037037037
5,6,South Jersey,10,23.2,24,6,10,40,24,160,6.666666666666667
6,4,North Allegheny,8,23.0,19,3,10,32,19,120,6.315789473684211
7,5,Basis,8,22.0,16,2,13,31,16,120,7.5
8,10,Shallow Walk team A,8,18.25,17,3,12,32,17,90,5.294117647058823
9,11,Gargy Bomy,8,16.75,12,6,13,31,12,110,9.166666666666666
10,1,Centreville HS Team 1,7,16.285714285714285,11,0,17,28,11,70,6.363636363636363
11,21,Westtown A,5,16.0,11,1,8,20,11,40,3.6363636363636362
12,8,Eagles C,7,15.714285714285714,11,1,16,28,11,70,6.363636363636363
13,9,WWPN A,10,15.2,19,6,15,40,19,100,5.2631578947368425
14,22,Westtown B,5,14.8,6,0,13,19,6,50,8.333333333333334
15,3,Richard Montgomery,10,13.2,19,1,20,40,19,60,3.1578947368421053
16,13,Montgomery Blair B,8,12.75,11,8,12,31,11,90,8.181818181818182
17,24,The Wilberforce School,5,10.0,6,1,13,20,6,30,5.0
18,29,Thomas S Wootton High School team A,5,10.0,6,1,13,20,6,30,5.0
19,18,Centennial A,5,8.0,6,1,13,20,6,20,3.3333333333333335
20,26,Shallow Stroll Team B,5,7.6,8,1,11,20,8,10,1.25
21,27,Thomas S Wootton High School team B,5,7.2,5,1,14,20,5,20,4.0
22,15,WCHS A,7,6.571428571428571,7,3,18,28,7,30,4.285714285714286
23,23,Poolesville 2,5,6.4,4,1,15,20,4,20,5.0
24,7,Eagles B,7,4.571428571428571,5,2,20,27,5,20,4.0
25,28,WWPN B,5,4.0,5,0,15,20,5,0,0.0
26,19,Centennial B,5,2.8,1,0,19,20,1,10,10.0
27,30,Thomas S Wootton High School team C,5,1.6,2,0,18,20,2,0,0.0
28,17,Pilgrimage Homeschool,5,0.0,0,0,19,19,0,0,
29,25,WCHS B,5,0.0,1,1,18,20,1,0,0.0
30,20,WCHS C,5,0.0,0,0,20,20,0,0,
