game_id,tournament_slug,stage,round_number,packet_name,packet_checksum,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,exported_at,moss_version
20260222T203012Z_4ly09hj,stanford-college-plus-science-bowl,double_elim,1,DOUBLE ELIM 1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,team__mit_team_1,MIT Team #1,170,team__cmu,CMU,50,2026-02-22T21:00:48.726Z,2
20260222T202740Z_6xgnw6y,stanford-college-plus-science-bowl,double_elim,1,DOUBLE ELIM 1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,team__quizbowlers,Quizbowlers,60,team__mit_team_2,MIT Team #2,126,2026-02-22T20:56:31.540Z,2
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,DOUBLE ELIM 1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,team__where_is_the_goal_keeper,where is the goal keeper,126,team__university_of_alabama_birmingham,University of Alabama Birmingham,98,2026-02-22T21:10:01.833Z,2
20260222T211207Z_8xgb8af,stanford-college-plus-science-bowl,double_elim,2,DOUBLE ELIM 2,b6d689c90964a1e14abf1a76f015514313c972bc05725a513715b756293a124d,team__cmu,CMU,68,team__quizbowlers,Quizbowlers,88,2026-02-22T21:56:41.188Z,2
20260222T211239Z_vqj6a3t,stanford-college-plus-science-bowl,double_elim,2,DOUBLE ELIM 2,b6d689c90964a1e14abf1a76f015514313c972bc05725a513715b756293a124d,team__mit_team_1,MIT Team #1,146,team__where_is_the_goal_keeper,where is the goal keeper,38,2026-02-22T21:46:22.017Z,2
20260222T210834Z_nm94h1r,stanford-college-plus-science-bowl,double_elim,2,DOUBLE ELIM 2,b6d689c90964a1e14abf1a76f015514313c972bc05725a513715b756293a124d,team__university_of_alabama_birmingham,University of Alabama Birmingham,110,team__mit_team_2,MIT Team #2,112,2026-02-22T21:48:28.291Z,2
20260222T215428Z_pck9v1n,stanford-college-plus-science-bowl,double_elim,3,DOUBLE ELIM 3,275f572af73fbe0baea4b65266d91fce0b57a0b6569c5528a6af41256e1fdb2e,team__mit_team_2,MIT Team #2,112,team__mit_team_1,MIT Team #1,48,2026-02-22T22:24:48.998Z,2
20260222T215619Z_w7wowaz,stanford-college-plus-science-bowl,double_elim,3,DOUBLE ELIM 3,275f572af73fbe0baea4b65266d91fce0b57a0b6569c5528a6af41256e1fdb2e,team__quizbowlers,Quizbowlers,68,team__university_of_alabama_birmingham,University of Alabama Birmingham,122,2026-02-22T22:34:20.954Z,2
20260222T215300Z_d1om604,stanford-college-plus-science-bowl,double_elim,3,DOUBLE ELIM 3,275f572af73fbe0baea4b65266d91fce0b57a0b6569c5528a6af41256e1fdb2e,team__where_is_the_goal_keeper,where is the goal keeper,58,team__cmu,CMU,66,2026-02-22T22:21:03.902Z,2
20260222T223958Z_4iu94to,stanford-college-plus-science-bowl,double_elim,4,DOUBLE ELIM 4,996270cc0498c447d9dadc9286e8f304b6eacc251a745f3bc48e5ea542e2fbfb,team__cmu,CMU,64,team__university_of_alabama_birmingham,University of Alabama Birmingham,84,2026-02-22T23:18:21.829Z,2
20260222T223746Z_2r20oly,stanford-college-plus-science-bowl,double_elim,4,DOUBLE ELIM 4,996270cc0498c447d9dadc9286e8f304b6eacc251a745f3bc48e5ea542e2fbfb,team__quizbowlers,Quizbowlers,8,team__mit_team_1,MIT Team #1,124,2026-02-22T23:12:58.224Z,2
20260222T220141Z_xfr70ws,stanford-college-plus-science-bowl,double_elim,4,DOUBLE ELIM 4,996270cc0498c447d9dadc9286e8f304b6eacc251a745f3bc48e5ea542e2fbfb,team__where_is_the_goal_keeper,where is the goal keeper,54,team__mit_team_2,MIT Team #2,104,2026-02-22T23:20:05.205Z,2
20260222T232219Z_0x1pmf9,stanford-college-plus-science-bowl,double_elim,6,DOUBLE ELIM 6,2fa9b78d17abe64d2e95713595330c2a0bdf1db31749c2a851010064902518c7,team__cmu,CMU,18,team__mit_team_2,MIT Team #2,146,2026-02-22T23:50:02.676Z,2
20260222T232252Z_54xbn0f,stanford-college-plus-science-bowl,double_elim,6,DOUBLE ELIM 6,2fa9b78d17abe64d2e95713595330c2a0bdf1db31749c2a851010064902518c7,team__university_of_alabama_birmingham,University of Alabama Birmingham,72,team__mit_team_1,MIT Team #1,100,2026-02-22T23:58:27.327Z,2
20260222T232052Z_ivtecc8,stanford-college-plus-science-bowl,double_elim,6,DOUBLE ELIM 6,2fa9b78d17abe64d2e95713595330c2a0bdf1db31749c2a851010064902518c7,team__where_is_the_goal_keeper,where is the goal keeper,32,team__quizbowlers,Quizbowlers,100,2026-02-22T23:50:12.141Z,2
20260223T000359Z_66okq54,stanford-college-plus-science-bowl,double_elim,8,DOUBLE ELIM 8,4563d95967ec0f8015b1f600faf306772abfe930ae707059e88472870c76ed3b,team__mit_team_1,MIT Team #1,18,team__mit_team_2,MIT Team #2,96,2026-02-23T00:34:36.600Z,2
20260222T134412Z_cj5lzyn,stanford-college-plus-science-bowl,round_1,0,Round 1,90027ac92c55995b778fd5005cfa17881869e6c4a2b8db622883e3151460b509,team__where_is_the_goal_keeper,where is the goal keeper,98,team__quizbowlers,Quizbowlers,56,2026-02-22T13:45:42.309Z,2
20260222T160914Z_ayw12rx,stanford-college-plus-science-bowl,round_robin,1,ROUND ROBIN 1,5e7e393b9538a1d5d69e7330b47646c42496b1348441450913c3a0305e976634,team__cmu,CMU,140,team__mit_team_1,MIT Team #1,142,2026-02-22T16:35:23.098Z,2
20260222T160556Z_r4ootoj,stanford-college-plus-science-bowl,round_robin,1,ROUND ROBIN 1,5e7e393b9538a1d5d69e7330b47646c42496b1348441450913c3a0305e976634,team__quizbowlers,Quizbowlers,126,team__mit_team_2,MIT Team #2,114,2026-02-22T16:49:58.540Z,2
20260222T160027Z_inqppe4,stanford-college-plus-science-bowl,round_robin,1,ROUND ROBIN 1,5e7e393b9538a1d5d69e7330b47646c42496b1348441450913c3a0305e976634,team__where_is_the_goal_keeper,where is the goal keeper,82,team__university_of_alabama_birmingham,University of Alabama Birmingham,166,2026-02-22T16:30:13.005Z,2
20260222T165310Z_5l3sueo,stanford-college-plus-science-bowl,round_robin,2,ROUND ROBIN 2,f31dc2047b839afc531f4cb19b570b67d66e719d1e3432531cc2c3d43f6803dc,team__cmu,CMU,92,team__quizbowlers,Quizbowlers,150,2026-02-22T17:22:24.901Z,2
20260222T165435Z_n8320h0,stanford-college-plus-science-bowl,round_robin,2,ROUND ROBIN 2,f31dc2047b839afc531f4cb19b570b67d66e719d1e3432531cc2c3d43f6803dc,team__university_of_alabama_birmingham,University of Alabama Birmingham,118,team__mit_team_2,MIT Team #2,122,2026-02-22T17:23:33.709Z,2
20260222T164006Z_ewpo61j,stanford-college-plus-science-bowl,round_robin,2,ROUND ROBIN 2,f31dc2047b839afc531f4cb19b570b67d66e719d1e3432531cc2c3d43f6803dc,team__where_is_the_goal_keeper,where is the goal keeper,82,team__mit_team_1,MIT Team #1,168,2026-02-22T17:19:23.092Z,2
20260222T172825Z_vxum09f,stanford-college-plus-science-bowl,round_robin,3,ROUND ROBIN 3,348eafdd977a17b5cf564b11f3dab537e330971d9f1fc41f94ad45aac7657855,team__mit_team_1,MIT Team #1,76,team__mit_team_2,MIT Team #2,168,2026-02-22T17:55:44.851Z,2
20260222T172311Z_ngwd72o,stanford-college-plus-science-bowl,round_robin,3,ROUND ROBIN 3,348eafdd977a17b5cf564b11f3dab537e330971d9f1fc41f94ad45aac7657855,team__quizbowlers,Quizbowlers,148,team__university_of_alabama_birmingham,University of Alabama Birmingham,66,2026-02-22T18:08:47.451Z,2
20260222T172858Z_u73ksbm,stanford-college-plus-science-bowl,round_robin,3,ROUND ROBIN 3,348eafdd977a17b5cf564b11f3dab537e330971d9f1fc41f94ad45aac7657855,team__where_is_the_goal_keeper,where is the goal keeper,78,team__cmu,CMU,164,2026-02-22T18:08:15.632Z,2
20260222T181247Z_kmrzwjt,stanford-college-plus-science-bowl,round_robin,4,ROUND ROBIN 4,01d779d8e26112edff2690e6cd938be1e776f6dedf2cf2c91a34ce6339276371,team__cmu,CMU,84,team__university_of_alabama_birmingham,University of Alabama Birmingham,104,2026-02-22T18:50:02.296Z,2
20260222T181515Z_gkgo9y3,stanford-college-plus-science-bowl,round_robin,4,ROUND ROBIN 4,01d779d8e26112edff2690e6cd938be1e776f6dedf2cf2c91a34ce6339276371,team__quizbowlers,Quizbowlers,48,team__mit_team_1,MIT Team #1,182,2026-02-22T18:49:53.495Z,2
20260222T180610Z_9z52ar3,stanford-college-plus-science-bowl,round_robin,4,ROUND ROBIN 4,01d779d8e26112edff2690e6cd938be1e776f6dedf2cf2c91a34ce6339276371,team__where_is_the_goal_keeper,where is the goal keeper,38,team__mit_team_2,MIT Team #2,174,2026-02-22T18:37:01.794Z,2
20260222T185510Z_qex3p37,stanford-college-plus-science-bowl,round_robin,5,ROUND ROBIN 5,4e77344bcbe41764af50f95936b6a977c655d7001328d6239ae8ca62aece73e2,team__cmu,CMU,84,team__mit_team_2,MIT Team #2,132,2026-02-22T19:24:49.306Z,2
20260222T185531Z_3zrwbbz,stanford-college-plus-science-bowl,round_robin,5,ROUND ROBIN 5,4e77344bcbe41764af50f95936b6a977c655d7001328d6239ae8ca62aece73e2,team__mit_team_1,MIT Team #1,156,team__university_of_alabama_birmingham,University of Alabama Birmingham,52,2026-02-22T19:26:44.553Z,2
20260222T185531Z_f6gvraf,stanford-college-plus-science-bowl,round_robin,5,ROUND ROBIN 5,4e77344bcbe41764af50f95936b6a977c655d7001328d6239ae8ca62aece73e2,team__quizbowlers,Quizbowlers,128,team__where_is_the_goal_keeper,where is the goal keeper,36,2026-02-22T19:27:31.157Z,2
