team_id,team_name
team_01fe560accf0b8_19cce296e06,Albany A
team_7af44c07e5619_19cce5a1ec9,Albany A
team_29b50cb3a1b9d8_19cce78cd52,Albany A
team_ec050871509e1_19cce9eb87d,Albany A
team_568ad0ebfcd5f8_19ccec05ebb,Albany A
team_52ce82d54a345_19cce341bde,Albany B
team_8de4bfc768ac1_19cce514078,Albany B
team_ab411422ec5ee_19cce701740,Albany B
team_9fc5a3ca2df108_19cce9672bc,Albany B
team_9beb2a3ed36be_19ccec19f7a,Albany B
team_bf45e63d5a64d_19ccf15317b,Amador Valley A
team_64292a1bfbdbc_19ccf3127b9,Amador Valley A
team_e7b8bc8da6438_19ccf6a1657,Amador Valley A
team_51962c4f0f2dd_19ccf5e7541,Amador Valley A
team_441477749b8de_19ccfb34a26,Amador Valley A
team_d0b9bd0dfab608_19cce1f9c15,Amador Valley A
team_daa91b65b1ead_19cce4a3536,Amador Valley A
team_3bbddfaf4cfc68_19cce6d6663,Amador Valley A
team_87adacfee3d048_19cce9a5f00,Amador Valley A
team_04b4ab961a7dd8_19cceaf5885,Amador Valley A
team_a7e846bad76098_19cce32569e,Amador Valley B
team_4647d8aa59d41_19cce536136,Amador Valley B
team_1c8d00ceb5725_19cce741e5d,Amador Valley B
team_fd43ae69c3aab8_19cce95f335,Amador Valley B
team_d06c9d2800226_19ccebc39fd,Amador Valley B
team_274f973e6450f8_19cce35a191,American A
team_3331130c54a5f_19cce54ced2,American A
team_fd022cb3b2126_19cce7633e4,American A
team_eee20943857f_19cce948bdd,American A
team_d6f9e935faa5a8_19cceb7a077,American A
team_7ea2d3ff9f9098_19cce2be3f7,American B
team_24b406dc51a7c8_19cce4f3dc8,American B
team_5106830df07f6_19cce78d151,American B
team_f34eb85466709_19cce96cc53,American B
team_769bd6af1a2c88_19ccebe0c37,American B
team_fa709a85a982a_19ccf1a511d,Archbishop Mitty A
team_e21d62afd7eab8_19ccf3a9db6,Archbishop Mitty A
team_50b02b8040e218_19ccf661ba7,Archbishop Mitty A
team_6bccbc4a5094c8_19cce35a191,Archbishop Mitty A
team_c9825ceae7ba38_19cce4ed99d,Archbishop Mitty A
team_6166785ddf1f2_19cce73eaea,Archbishop Mitty A
team_9cede91fae85e_19cce999db5,Archbishop Mitty A
team_02aeb0cf2632c8_19cceb5bb88,Archbishop Mitty A
team_bc54936af73358_19cce303af4,Archbishop Mitty B
team_1a888d1dbd9458_19cce558321,Archbishop Mitty B
team_5b6999cf2f259_19cce6d88d5,Archbishop Mitty B
team_53d8de94fedce8_19ccea60d2e,Archbishop Mitty B
team_763cb7840a39c_19cceba2cd1,Archbishop Mitty B
team_aa06d2f3564968_19cce1f9c15,BASIS Fremont
team_a52d50082a1d08_19cce61fc9a,BASIS Fremont
team_7ce8307ff28828_19cce700bde,BASIS Fremont
team_71ddc5b23e3cc8_19cce970cbc,BASIS Fremont
team_13f307461f78a_19ccead7a5a,BASIS Fremont
team_8a1fe6f788118_19ccf173211,BASIS Silicon Valley A
team_da187b7dce5388_19ccf3dc77a,BASIS Silicon Valley A
team_2d0b38ae32fea_19ccf8ce79f,BASIS Silicon Valley A
team_db53c929c6b78_19ccfe086e0,BASIS Silicon Valley A
team_e59c2befa422f8_19cd002db02,BASIS Silicon Valley A
team_559ba98b5851c_19cce32569e,BASIS Silicon Valley A
team_bec7589609d9f8_19cce730b24,BASIS Silicon Valley A
team_0162bfde715738_19cce9aaa8f,BASIS Silicon Valley A
team_414d015ff336f_19cceb5df37,BASIS Silicon Valley A
team_b1eb252be389b8_19cce2be3f7,BASIS Silicon Valley B
team_917b3a5184255_19cce4d01e9,BASIS Silicon Valley B
team_d7d8017d7145d_19cce6b3511,BASIS Silicon Valley B
team_6d72e5581820b_19cce90b06d,BASIS Silicon Valley B
team_5c404388a5ed48_19ccebd5ede,BASIS Silicon Valley B
team_03c0a4594e36f_19cce331e80,California
team_c5f847a55b907_19cce52374b,California
team_c8f44f92ff8dd_19cce72b8c9,California
team_a9192918b5a98_19cce93153f,California
team_d6579c67f33608_19cceb56cab,California
team_c9242b290dd088_19cce22824b,Chico A
team_cc41cbc999f37_19cce6cc6e6,Chico A
team_1dff91de75fb28_19cce73eaeb,Chico A
team_e4aa6835f2d99_19cce933814,Chico A
team_e0a2c737bada8_19cceb7a077,Chico A
team_89ce750c372e98_19cce353efa,Chico B
team_cd430f1be7ca48_19cce558321,Chico B
team_9a50139e8972d_19cce6ee4c6,Chico B
team_4b918bd0bbf0c8_19cce98142e,Chico B
team_0dfe1097e78f4_19ccec20276,Chico B
team_a4a6f04de12518_19ccf185e8a,Clovis North
team_be8a9afef65ca8_19ccf3f400f,Clovis North
team_5b49f42c6d88a_19ccf5e397c,Clovis North
team_aad45807907cd_19cce35175f,Clovis North
team_b8b0c47e0e406_19cce516733,Clovis North
team_9d63b48eacb818_19cce6b3511,Clovis North
team_eaf5aa7669edb8_19cce9031c9,Clovis North
team_1c5aa7447ebe18_19ccebe0c37,Clovis North
team_d76cfcd68bc32_19cce341bde,Cupertino A
team_b6d334f8286c1_19cce51af97,Cupertino A
team_f0cf8bf9247598_19cce6daa43,Cupertino A
team_942ae5144c117_19cce8e12c8,Cupertino A
team_152138a14da9d8_19cceb95e1f,Cupertino A
team_5305f2f3c816b8_19cce2a403f,Cupertino B
team_f738c9bef75b78_19cce4964fe,Cupertino B
team_27812687bb1468_19cce700bde,Cupertino B
team_de5eb9007eb9f_19cce912f10,Cupertino B
team_ba7be460a3a21_19cceaf5885,Cupertino B
team_5046ea09bed908_19ccf1069b5,Davidson A
team_cf9fc5198c7508_19ccf3bfcea,Davidson A
team_85367c5c02a87_19ccf8d0306,Davidson A
team_54679a794dd64_19ccfe086e0,Davidson A
team_eddf8c38eeb9c_19cd02d3adf,Davidson A
team_5661f209fd165_19cce295bba,Davidson A
team_327bdf02de2c3_19cce4ae56a,Davidson A
team_abb23641f83c28_19cce6daa43,Davidson A
team_c4240a4d5dc9d_19cce90ea6d,Davidson A
team_25a1b602bada18_19ccec19f7a,Davidson A
team_7c0dc20a376ff_19ccf1069b5,Davidson B
team_2c7ea2d802a948_19ccf3f400f,Davidson B
team_4aa80dd8a70018_19cce1e38ae,Davidson B
team_8116bd38c4cf68_19cce4964fe,Davidson B
team_a514ac5659d02_19cce73aebe,Davidson B
team_b2a825a55dde58_19cce9a5f00,Davidson B
team_e94b97a2381c6_19ccead7a5a,Davidson B
team_66c72f0bc6ec7_19ccf185e8a,Dougherty Valley A
team_f038bb8174209_19ccf3bfcea,Dougherty Valley A
team_c3ce3f5498b8b_19ccf6a1657,Dougherty Valley A
team_fa54a68c2343e8_19cce353efa,Dougherty Valley A
team_e626c37a5c64d8_19cce5487d3,Dougherty Valley A
team_3708ebf9ddc678_19cce760be1,Dougherty Valley A
team_10a60a367afba8_19ccea60d2e,Dougherty Valley A
team_a0a875d2292798_19ccebbc176,Dougherty Valley A
team_a86cd162c1f348_19cce3605bb,Dougherty Valley B
team_2f631a6bd1fb08_19cce6cc6e6,Dougherty Valley B
team_0d2365a888e498_19cce657dff,Dougherty Valley B
team_146c67573c8158_19cce948bdd,Dougherty Valley B
team_670f2fb714df8_19cceb5bb88,Dougherty Valley B
team_cc2098f3a268f_19cce31cc06,El Camino A
team_704fa0f4f2e7d8_19cce530a32,El Camino A
team_abcc144ea89018_19cce730b24,El Camino A
team_96c26b10966ad8_19cce92c5f4,El Camino A
team_9639e0a6b1357_19ccebc39fd,El Camino A
team_9a06ac8db41bf_19cce304284,El Camino B
team_1d30a6683688c_19cce4ae56a,El Camino B
team_b7dd95eb6a3ea8_19cce73a908,El Camino B
team_bc6cf05657ecb_19cce9672bc,El Camino B
team_a6c62fc0a8c9_19cceb95e1f,El Camino B
team_a298096ef8149_19ccdda3d3a,Evergreen Valley
team_9a85f46c965368_19cce516733,Evergreen Valley
team_cb59aedb4879f_19cce6c137b,Evergreen Valley
team_8b3955918d83d_19cce96cc53,Evergreen Valley
team_a85b2ed72b6c38_19ccebd5ede,Evergreen Valley
team_140e9cbf0ccdd_19cce296e06,Folsom City
team_13d87adfd71a1_19cce551d2c,Folsom City
team_d6e8b4c3e1677_19cce746e58,Folsom City
team_b7ce7697d9bed8_19ccea1bfa8,Folsom City
team_4bff8e7c971c08_19cceb55dac,Folsom City
team_ee93ed71e865c8_19ccf173211,Foothill A
team_a80eb41d17b33_19ccf429e9e,Foothill A
team_3feb5aa97bdd4_19ccf661ba6,Foothill A
team_4228d7ff81c9c8_19ccf5e7542,Foothill A
team_744aee1dd27448_19cce304284,Foothill A
team_9a9205d2311bf8_19cce51af97,Foothill A
team_f150d2bf471028_19cce701740,Foothill A
team_a8c9dbc979d55_19cce90ea6d,Foothill A
team_3505c3c0db8628_19cceb871a8,Foothill A
team_c65b9d90c47a4_19cce2ff230,Foothill B
team_7e8f4b7fa72d5_19cce4a0063,Foothill B
team_fea68806aae53_19cce77f3ae,Foothill B
team_45f6fdb3916a48_19cce95f335,Foothill B
team_3662fd2d711dd_19cceb5df37,Foothill B
team_5a25407e6ea55_19ccf12a5cf,GSB A
team_e70c9236bd0178_19ccf3dc77a,GSB A
team_abad6e29ae76e_19ccf63af88,GSB A
team_eeb11e32b1e348_19ccdda3d3a,GSB A
team_6d13d92babff28_19cce4d01e9,GSB A
team_6b8079dbf11e8_19cce78d151,GSB A
team_72a131bec832c8_19cce9031c9,GSB A
team_d9b309341664b8_19cceb582ef,GSB A
team_017894b159e76_19cce331e7f,GSB B
team_a947664b461a9_19cce48a3cf,GSB B
team_5afd62393a748_19cce77c0fb,GSB B
team_0da31ddf63b05_19cce9c9cda,GSB B
team_5a062373be359_19ccebc26f6,GSB B
team_f21ea0b03b0458_19cce295bba,Homestead
team_a83f4955bfabe_19cce514078,Homestead
team_061875907a56d_19cce73a908,Homestead
team_72ffc0ccb319d_19cce8e12c8,Homestead
team_5ff32bc02aeeb_19cceb871a8,Homestead
team_6f049a7e219318_19ccf185352,Irvington A
team_b88c478f506e1_19ccf3127b8,Irvington A
team_70395a1263edf8_19cce36f63f,Irvington A
team_1f769e14e1515_19cce53740c,Irvington A
team_477fce62a3832_19cce77c0fb,Irvington A
team_34e8438ac674f_19cce9dc7e2,Irvington A
