game_id,round_number,round_name,round_packet_name,status,completed_at,packet_checksum,packet_name,packet_year,pairs_played
1,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:52:31.294000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
2,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:53:06.854000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
3,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:54:42.325000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
4,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:51:21.168000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
5,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:42:11.027000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
6,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:56:23.639000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
7,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:51:47.251000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
8,1,DOUBLE ELIMINATION 1,DOUBLE ELIMINATION 1,COMPLETED,2026-03-08 20:42:35.093000,ef386728645fd7d8b3f2f649d0d19b7809b52a78c0ea8ee6679996fe612d9556,DOUBLE ELIMINATION 1,2026,23
9,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:21:14.837000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
10,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:28:42.266000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
11,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:29:40.920000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
12,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:31:01.097000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
13,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:24:33.263000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
14,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:34:30.531000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
15,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:25:16.256000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
16,2,DOUBLE ELIMINATION 2,DOUBLE ELIMINATION 2,COMPLETED,2026-03-08 21:43:45.762000,80497686eda6d86b3a4d3d952ac859866bb83a057b558353b7d4a79a301f0e07,DOUBLE ELIMINATION 2,2026,23
17,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-08 22:11:29.586000,34021f1d49ef0b60341ef94a4597998788831950b602e24528eb2186d80523d5,DOUBLE ELIMINATION 3,2026,23
18,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-08 22:14:26.894000,34021f1d49ef0b60341ef94a4597998788831950b602e24528eb2186d80523d5,DOUBLE ELIMINATION 3,2026,23
19,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-08 22:25:58.828000,34021f1d49ef0b60341ef94a4597998788831950b602e24528eb2186d80523d5,DOUBLE ELIMINATION 3,2026,23
20,3,DOUBLE ELIMINATION 3,DOUBLE ELIMINATION 3,COMPLETED,2026-03-08 22:14:54.528000,34021f1d49ef0b60341ef94a4597998788831950b602e24528eb2186d80523d5,DOUBLE ELIMINATION 3,2026,23
