rank,team_id,name,wins,losses,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Mission San Jose A,5,1,120.33333333333333,76,28,34,138,76,530,6.973684210526316
2,5,BASIS Silicon Valley A,3,2,79.6,42,10,63,115,42,270,6.428571428571429
3,9,Davidson A,4,0,116.0,50,14,28,92,50,320,6.4
4,14,Palo Alto,3,2,77.6,45,13,57,115,45,260,5.777777777777778
5,1,Amador Valley A,3,2,111.6,59,22,34,115,59,410,6.9491525423728815
6,2,Mission San Jose B,3,2,85.2,41,12,62,115,41,310,7.560975609756097
7,3,Lynbrook A,2,2,112.0,47,15,30,92,47,320,6.808510638297872
8,6,Foothill A,2,2,53.5,25,14,53,92,25,170,6.8
9,7,Clovis North,1,2,89.33333333333333,29,2,38,69,29,160,5.517241379310345
10,4,Archbishop Mitty A,1,2,76.66666666666667,26,11,32,69,26,170,6.538461538461538
11,8,Dougherty Valley A,1,2,70.66666666666667,26,8,35,69,26,140,5.384615384615385
12,11,GSB A,1,2,54.666666666666664,18,7,44,69,18,120,6.666666666666667
13,12,Saratoga,0,2,80.0,21,6,19,46,21,100,4.761904761904762
14,10,Davidson B,0,2,61.0,15,2,29,46,15,70,4.666666666666667
15,16,Mira Loma A,0,2,48.0,11,2,33,46,11,60,5.454545454545454
16,13,Irvington A,0,2,29.0,10,8,28,46,10,50,5.0
