rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Mission San Jose A,2,35.0,6,1,1,8,6,50,8.333333333333334
2,5,BASIS Silicon Valley A,2,33.0,5,1,2,8,5,50,10.0
3,7,Clovis North,3,32.0,9,0,3,12,9,60,6.666666666666667
4,12,Saratoga,2,29.0,7,0,1,8,7,30,4.285714285714286
5,3,Lynbrook A,3,20.0,6,1,5,12,6,40,6.666666666666667
6,8,Dougherty Valley A,3,19.333333333333332,8,1,3,12,8,30,3.75
7,1,Amador Valley A,3,14.666666666666666,5,4,3,12,5,40,8.0
8,2,Mission San Jose B,3,14.0,4,1,4,9,4,30,7.5
9,4,Archbishop Mitty A,3,9.333333333333334,4,2,6,12,4,20,5.0
10,16,Mira Loma A,2,9.0,2,0,6,8,2,10,5.0
11,14,Palo Alto,2,7.0,1,0,4,5,1,10,10.0
12,10,Davidson B,2,6.0,3,0,5,8,3,0,0.0
13,13,Irvington A,2,5.0,1,1,6,8,1,10,10.0
14,11,GSB A,3,3.3333333333333335,2,2,8,12,2,10,5.0
15,6,Foothill A,3,2.0,2,3,7,12,2,10,5.0
16,9,Davidson A,2,-2.0,1,2,5,8,1,0,0.0
