rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Mission San Jose A,3,30.0,11,1,0,12,11,50,4.545454545454546
2,5,BASIS Silicon Valley A,3,26.0,7,0,5,12,7,50,7.142857142857143
3,12,Saratoga,2,25.0,6,1,1,8,6,30,5.0
4,14,Palo Alto,3,24.666666666666668,6,0,6,12,6,50,8.333333333333334
5,3,Lynbrook A,4,24.0,11,2,3,16,11,60,5.454545454545454
6,1,Amador Valley A,4,23.0,9,1,6,16,9,60,6.666666666666667
7,7,Clovis North,3,18.0,6,0,6,12,6,30,5.0
8,4,Archbishop Mitty A,3,14.0,5,2,5,12,5,30,6.0
9,9,Davidson A,3,14.0,5,2,5,12,5,30,6.0
10,8,Dougherty Valley A,3,13.333333333333334,5,0,7,12,5,20,4.0
11,10,Davidson B,2,9.0,2,0,6,8,2,10,5.0
12,16,Mira Loma A,2,7.0,1,0,7,8,1,10,10.0
13,11,GSB A,3,4.666666666666667,1,0,11,12,1,10,10.0
14,2,Mission San Jose B,4,2.0,2,0,14,16,2,0,0.0
15,6,Foothill A,4,0.0,2,2,12,16,2,0,0.0
16,13,Irvington A,2,-2.0,1,2,5,8,1,0,0.0
