rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,2,Mission San Jose B,5,19.2,9,5,6,20,9,80,8.88888888888889
2,3,Lynbrook A,4,19.0,8,4,4,16,8,60,7.5
3,15,Mission San Jose A,7,18.0,15,6,7,28,15,90,6.0
4,9,Davidson A,5,16.8,9,3,8,20,9,60,6.666666666666667
5,1,Amador Valley A,5,16.0,8,3,9,20,8,60,7.5
6,6,Foothill A,4,14.5,6,4,6,16,6,50,8.333333333333334
7,8,Dougherty Valley A,3,14.0,5,2,5,12,5,30,6.0
8,14,Palo Alto,5,11.2,7,3,10,20,7,40,5.714285714285714
9,4,Archbishop Mitty A,3,10.666666666666666,5,2,5,12,5,20,4.0
10,12,Saratoga,2,9.0,3,1,4,8,3,10,3.3333333333333335
11,10,Davidson B,2,6.0,3,0,5,8,3,0,0.0
12,5,BASIS Silicon Valley A,5,0.8,4,3,13,20,4,0,0.0
13,7,Clovis North,3,0.0,0,0,12,12,0,0,
14,11,GSB A,3,0.0,1,1,10,12,1,0,0.0
15,13,Irvington A,2,0.0,0,0,8,8,0,0,
16,16,Mira Loma A,2,0.0,1,1,6,8,1,0,0.0
