rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,9,Davidson A,3,29.333333333333332,8,1,3,12,8,60,7.5
2,1,Amador Valley A,5,28.4,13,5,2,20,13,110,8.461538461538462
3,4,Archbishop Mitty A,3,26.666666666666668,6,1,5,12,6,60,10.0
4,14,Palo Alto,4,25.0,10,0,6,16,10,60,6.0
5,5,BASIS Silicon Valley A,3,23.333333333333332,6,1,5,12,6,50,8.333333333333334
6,2,Mission San Jose B,5,22.4,9,1,10,20,9,80,8.88888888888889
7,3,Lynbrook A,4,21.0,8,2,6,16,8,60,7.5
8,11,GSB A,3,20.0,5,0,7,12,5,40,8.0
9,6,Foothill A,4,15.5,5,2,9,16,5,50,10.0
10,8,Dougherty Valley A,3,14.0,3,0,9,12,3,30,10.0
11,13,Irvington A,2,12.0,2,1,5,8,2,20,10.0
12,7,Clovis North,3,10.666666666666666,4,1,7,12,4,20,5.0
13,15,Mission San Jose A,4,10.5,5,2,9,16,5,30,6.0
14,10,Davidson B,2,10.0,2,2,4,8,2,20,10.0
15,16,Mira Loma A,2,2.0,1,0,7,8,1,0,0.0
16,12,Saratoga,2,2.0,1,0,7,8,1,0,0.0
