rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,10,Davidson B,2,28.0,4,0,4,8,4,40,10.0
2,9,Davidson A,2,26.0,5,2,1,8,5,40,8.0
3,5,BASIS Silicon Valley A,2,19.0,3,1,4,8,3,30,10.0
4,3,Lynbrook A,2,19.0,3,1,4,8,3,30,10.0
5,2,Mission San Jose B,2,18.0,5,1,2,8,5,20,4.0
6,16,Mira Loma A,2,14.0,3,1,4,8,3,20,6.666666666666667
7,6,Foothill A,2,12.0,2,1,5,8,2,20,10.0
8,11,GSB A,2,10.0,3,3,2,8,3,20,6.666666666666667
9,14,Palo Alto,2,10.0,2,2,4,8,2,20,10.0
10,13,Irvington A,2,9.0,4,2,2,8,4,10,2.5
11,1,Amador Valley A,2,8.0,2,3,3,8,2,20,10.0
12,7,Clovis North,2,7.0,2,1,5,8,2,10,5.0
13,15,Mission San Jose A,2,6.0,2,4,2,8,2,20,10.0
14,12,Saratoga,2,6.0,2,4,2,8,2,20,10.0
15,4,Archbishop Mitty A,2,5.0,1,1,6,8,1,10,10.0
16,8,Dougherty Valley A,2,5.0,2,2,4,8,2,10,5.0
