game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
1,1,1,Folsom City,184,64,120,17,1,5,12,5,6
1,2,2,Albany A,40,20,20,5,0,18,2,3,18
2,1,3,Cupertino A,140,60,80,15,0,8,8,7,8
2,2,4,Albany B,18,8,10,2,0,21,1,1,21
3,1,5,BASIS Fremont,18,8,10,4,2,17,1,3,19
3,2,6,Amador Valley A,226,56,170,18,4,1,17,1,5
4,1,7,Amador Valley B,56,16,40,4,0,19,4,0,19
4,2,8,BASIS Silicon Valley A,242,72,170,19,1,3,17,2,4
5,1,9,Archbishop Mitty A,224,64,160,18,2,3,16,2,5
5,2,10,American A,18,8,10,2,0,21,1,1,21
6,1,11,BASIS Silicon Valley B,170,60,110,17,2,4,11,6,6
6,2,12,American B,18,8,10,2,0,21,1,1,21
7,1,13,Archbishop Mitty B,126,36,90,10,1,12,9,1,13
7,2,14,Irvington B,66,36,30,9,0,14,3,6,14
8,1,15,GSB B,98,28,70,7,0,16,7,0,16
8,2,16,California,116,36,80,11,2,10,8,3,12
9,1,17,Chico A,62,32,30,9,1,13,3,6,14
9,2,18,Mountain House B,78,28,50,8,1,14,5,3,15
10,1,19,Chico B,0,0,0,1,1,21,0,1,22
10,2,20,Dougherty Valley A,222,72,150,20,2,1,15,5,3
11,1,21,Clovis North,158,48,110,15,3,5,11,4,8
11,2,22,Quarry Lane A,14,4,10,2,1,20,1,0,22
12,1,23,Stanford Online,116,36,80,12,3,8,8,4,11
12,2,24,Cupertino B,72,32,40,9,1,13,4,5,14
13,1,25,Homestead,88,28,60,7,0,16,6,1,16
13,2,26,Davidson A,158,48,110,15,3,5,11,4,8
14,1,27,Davidson B,178,48,130,13,1,9,13,0,10
14,2,28,Mountain House A,50,20,30,6,1,16,3,3,17
15,1,29,Dougherty Valley B,102,32,70,10,2,11,7,3,13
15,2,30,Lynbrook A,150,40,110,12,2,9,11,0,12
16,1,31,El Camino A,36,16,20,6,2,15,2,3,18
16,2,32,Mira Loma A,192,52,140,15,2,6,14,1,8
17,1,33,Foothill A,144,44,100,14,3,6,10,4,9
17,2,34,El Camino B,30,20,10,6,1,16,1,5,17
18,1,35,Evergreen Valley,12,12,0,3,0,20,0,3,20
18,2,36,GSB A,204,64,140,17,1,5,14,3,6
19,1,37,Foothill B,104,44,60,12,1,10,6,5,12
19,2,38,Los Gatos,44,24,20,6,0,17,2,4,17
20,1,39,Irvington A,74,24,50,6,0,17,5,1,17
20,2,40,Mission San Jose A,190,40,150,15,5,3,15,0,8
21,1,41,Miller,92,32,60,8,0,15,6,0,17
21,2,42,Lynbrook B,186,56,130,15,1,7,13,0,10
22,1,43,Mira Loma B,42,12,30,3,0,20,3,0,20
22,2,44,Palo Alto,228,68,160,18,1,4,16,2,5
23,1,45,Saratoga,136,36,100,11,2,10,10,1,12
23,2,46,Mission San Jose B,124,24,100,11,5,7,10,1,12
24,1,47,San Mateo,4,4,0,1,0,22,0,1,22
24,2,48,Quarry Lane B,110,60,50,15,0,8,5,10,8
25,1,8,BASIS Silicon Valley A,228,68,160,18,1,4,16,2,5
25,2,38,Los Gatos,0,0,0,2,2,19,0,2,21
26,1,45,Saratoga,196,56,140,17,3,3,14,3,6
26,2,2,Albany A,42,12,30,3,0,20,3,0,20
