game_id,round_number,round_name,round_packet_name,status,completed_at,packet_checksum,packet_name,packet_year,pairs_played
1,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:28:03.604000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
2,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:35:51.049000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
3,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:27:55.472000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
4,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:33:25.420000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
5,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:34:05.875000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
6,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:39:47.282000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
7,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:27:44.775000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
8,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:34:45.363000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
9,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:27:47.933000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
10,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:40:04.770000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
11,1,Round 1,ROUND ROBIN 1,COMPLETED,2026-03-08 16:34:41.888000,4b4c905a013e29f9d84468c19a59c1493855d68cc6d535d88eac262ab1e4bd13,ROUND ROBIN 1,2026,23
