rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,44,Palo Alto,5,50.4,19,1,0,20,19,180,9.473684210526315
2,8,BASIS Silicon Valley A,5,48.4,18,0,2,20,18,170,9.444444444444445
3,21,Clovis North,5,38.0,16,1,3,20,16,130,8.125
4,26,Davidson A,5,37.6,16,4,0,20,16,140,8.75
5,30,Lynbrook A,5,34.4,14,1,5,20,14,120,8.571428571428571
6,9,Archbishop Mitty A,5,34.0,14,4,2,20,14,130,9.285714285714286
7,40,Mission San Jose A,5,31.6,13,6,1,20,13,130,10.0
8,45,Saratoga,5,31.2,13,4,3,20,13,120,9.23076923076923
9,27,Davidson B,5,30.4,14,1,5,20,14,100,7.142857142857143
10,32,Mira Loma A,5,29.2,12,3,5,20,12,110,9.166666666666666
11,6,Amador Valley A,5,28.0,12,7,1,20,12,120,10.0
12,39,Irvington A,5,24.4,11,3,6,20,11,90,8.181818181818182
13,33,Foothill A,5,23.6,11,4,5,20,11,90,8.181818181818182
14,23,Stanford Online,5,23.2,11,2,7,20,11,80,7.2727272727272725
15,20,Dougherty Valley A,5,22.8,11,0,9,20,11,70,6.363636363636363
16,42,Lynbrook B,5,22.4,10,2,8,20,10,80,8.0
17,29,Dougherty Valley B,5,21.6,9,2,9,20,9,80,8.88888888888889
18,46,Mission San Jose B,5,21.6,11,4,5,20,11,80,7.2727272727272725
19,3,Cupertino A,5,21.2,11,2,7,20,11,70,6.363636363636363
20,36,GSB A,5,21.2,11,2,7,20,11,70,6.363636363636363
21,11,BASIS Silicon Valley B,5,20.8,9,3,8,20,9,80,8.88888888888889
22,1,Folsom City,5,19.6,9,2,9,20,9,70,7.777777777777778
23,43,Mira Loma B,5,13.2,9,0,11,20,9,30,3.3333333333333335
24,15,GSB B,5,10.0,5,0,15,20,5,30,6.0
25,10,American A,5,8.8,7,1,12,20,7,20,2.857142857142857
26,16,California,5,8.8,9,3,8,20,9,20,2.2222222222222223
27,31,El Camino A,5,8.4,4,1,15,20,4,30,7.5
28,38,Los Gatos,5,7.2,7,3,10,20,7,20,2.857142857142857
29,22,Quarry Lane A,5,7.2,5,1,14,20,5,20,4.0
30,48,Quarry Lane B,5,7.2,5,1,14,20,5,20,4.0
31,18,Mountain House B,5,6.4,5,2,13,20,5,20,4.0
32,5,BASIS Fremont,5,6.0,5,0,15,20,5,10,2.0
33,41,Miller,5,6.0,5,0,15,20,5,10,2.0
34,25,Homestead,5,5.6,3,1,16,20,3,20,6.666666666666667
35,13,Archbishop Mitty B,5,5.2,4,0,16,20,4,10,2.5
36,34,El Camino B,5,5.2,5,1,14,20,5,10,2.0
37,14,Irvington B,5,5.2,4,0,16,20,4,10,2.5
38,37,Foothill B,5,4.4,5,2,13,20,5,10,2.0
39,2,Albany A,5,3.6,3,1,16,20,3,10,3.3333333333333335
40,24,Cupertino B,5,3.2,4,0,16,20,4,0,0.0
41,17,Chico A,5,2.4,3,0,17,20,3,0,0.0
42,35,Evergreen Valley,5,2.4,3,0,17,20,3,0,0.0
43,4,Albany B,5,1.6,2,0,18,20,2,0,0.0
44,7,Amador Valley B,5,1.6,4,2,14,20,4,0,0.0
45,19,Chico B,5,1.6,4,2,14,20,4,0,0.0
46,28,Mountain House A,5,1.6,2,5,13,20,2,20,10.0
47,12,American B,5,0.8,3,2,15,20,3,0,0.0
48,47,San Mateo,5,0.8,1,0,19,20,1,0,0.0
