rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,26,Davidson A,5,35.2,14,0,1,15,14,120,8.571428571428571
2,40,Mission San Jose A,5,28.0,12,2,1,15,12,100,8.333333333333334
3,45,Saratoga,5,26.4,11,3,1,15,11,100,9.090909090909092
4,6,Amador Valley A,5,25.2,12,3,0,15,12,90,7.5
5,46,Mission San Jose B,5,24.0,11,1,3,15,11,80,7.2727272727272725
6,21,Clovis North,5,23.2,10,1,4,15,10,80,8.0
7,39,Irvington A,5,23.2,10,1,4,15,10,80,8.0
8,8,BASIS Silicon Valley A,5,22.4,10,2,3,15,10,80,8.0
9,30,Lynbrook A,5,21.2,11,2,2,15,11,70,6.363636363636363
10,20,Dougherty Valley A,5,20.0,10,0,5,15,10,60,6.0
11,1,Folsom City,5,20.0,10,0,5,15,10,60,6.0
12,44,Palo Alto,5,18.8,9,3,3,15,9,70,7.777777777777778
13,36,GSB A,5,16.8,9,3,3,15,9,60,6.666666666666667
14,43,Mira Loma B,5,15.2,6,2,7,15,6,60,10.0
15,7,Amador Valley B,5,14.8,6,0,9,15,6,50,8.333333333333334
16,27,Davidson B,5,14.8,7,1,7,15,7,50,7.142857142857143
17,11,BASIS Silicon Valley B,5,14.0,8,3,4,15,8,50,6.25
18,33,Foothill A,5,13.6,8,1,6,15,8,40,5.0
19,32,Mira Loma A,5,13.6,8,1,6,15,8,40,5.0
20,23,Stanford Online,5,12.8,7,6,2,15,7,60,8.571428571428571
21,9,Archbishop Mitty A,5,12.4,7,4,4,15,7,50,7.142857142857143
22,3,Cupertino A,5,12.0,6,1,8,15,6,40,6.666666666666667
23,42,Lynbrook B,5,11.2,5,1,9,15,5,40,8.0
24,16,California,5,10.4,5,2,8,15,5,40,8.0
25,29,Dougherty Valley B,5,10.0,7,2,6,15,7,30,4.285714285714286
26,28,Mountain House A,5,10.0,5,0,10,15,5,30,6.0
27,25,Homestead,5,9.2,5,1,9,15,5,30,6.0
28,34,El Camino B,5,8.0,5,0,10,15,5,20,4.0
29,37,Foothill B,5,7.2,4,0,11,15,4,20,5.0
30,17,Chico A,5,6.4,3,0,12,15,3,20,6.666666666666667
31,15,GSB B,5,6.4,3,0,12,15,3,20,6.666666666666667
32,41,Miller,5,6.4,4,1,10,15,4,20,5.0
33,12,American B,5,5.6,2,0,13,15,2,20,10.0
34,5,BASIS Fremont,5,5.6,4,2,9,15,4,20,5.0
35,47,San Mateo,5,5.6,2,0,13,15,2,20,10.0
36,13,Archbishop Mitty B,5,4.8,2,1,12,15,2,20,10.0
37,31,El Camino A,5,3.6,2,0,13,15,2,10,5.0
38,14,Irvington B,5,3.6,3,1,11,15,3,10,3.3333333333333335
39,18,Mountain House B,5,2.8,2,1,12,15,2,10,5.0
40,22,Quarry Lane A,5,2.8,2,1,12,15,2,10,5.0
41,4,Albany B,5,1.6,2,0,13,15,2,0,0.0
42,19,Chico B,5,1.6,5,3,7,15,5,0,0.0
43,24,Cupertino B,5,1.6,2,0,13,15,2,0,0.0
44,38,Los Gatos,5,1.6,2,0,13,15,2,0,0.0
45,48,Quarry Lane B,5,1.6,4,2,9,15,4,0,0.0
46,2,Albany A,5,0.8,1,0,14,15,1,0,0.0
47,35,Evergreen Valley,5,0.8,1,0,14,15,1,0,0.0
48,10,American A,5,0.0,3,3,9,15,3,0,0.0
