rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,5,BASIS Silicon Valley A,7,41.714285714285715,22,4,2,28,22,220,10.0
2,15,Mission San Jose A,7,36.857142857142854,21,4,3,28,21,190,9.047619047619047
3,7,Clovis North,8,34.25,23,2,7,32,23,190,8.26086956521739
4,8,Dougherty Valley A,8,34.0,25,2,5,32,25,180,7.2
5,3,Lynbrook A,8,29.0,21,3,8,32,21,160,7.619047619047619
6,17,Folsom City,5,27.2,15,1,4,20,15,80,5.333333333333333
7,38,Dougherty Valley B,5,26.8,12,1,7,20,12,90,7.5
8,12,Saratoga,7,26.285714285714285,17,1,10,28,17,120,7.0588235294117645
9,4,Archbishop Mitty A,8,23.5,20,3,9,32,20,120,6.0
10,11,GSB A,8,23.25,17,3,12,32,17,130,7.647058823529412
11,35,Cupertino B,5,23.2,11,2,7,20,11,80,7.2727272727272725
12,44,Miller,5,22.8,12,1,7,20,12,70,5.833333333333333
13,14,Palo Alto,7,22.571428571428573,15,3,7,25,15,110,7.333333333333333
14,45,Lynbrook B,5,22.4,12,4,4,20,12,80,6.666666666666667
15,2,Mission San Jose B,8,20.75,16,7,6,29,16,130,8.125
16,6,Foothill A,8,19.5,15,6,11,32,15,120,8.0
17,16,Mira Loma A,7,18.0,13,4,11,28,13,90,6.923076923076923
18,9,Davidson A,7,16.857142857142858,16,4,8,28,16,70,4.375
19,1,Amador Valley A,8,15.25,16,13,3,32,16,110,6.875
20,34,Stanford Online,5,14.8,8,2,10,20,8,50,6.25
21,48,Quarry Lane B,5,13.6,8,1,11,20,8,40,5.0
22,36,Homestead,5,12.8,7,1,12,20,7,40,5.714285714285714
23,26,Archbishop Mitty B,5,12.0,6,1,13,20,6,40,6.666666666666667
24,46,Mira Loma B,5,11.6,9,2,9,20,9,30,3.3333333333333335
25,13,Irvington A,7,11.428571428571429,9,4,15,28,9,60,6.666666666666667
26,27,Irvington B,5,10.8,6,0,14,20,6,30,5.0
27,19,Cupertino A,5,10.0,6,1,13,20,6,30,5.0
28,24,BASIS Silicon Valley B,5,9.6,6,4,10,20,6,40,6.666666666666667
29,42,Foothill B,5,9.2,7,3,10,20,7,30,4.285714285714286
30,22,Amador Valley B,5,8.4,5,2,13,20,5,30,6.0
31,25,American B,5,8.4,3,0,17,20,3,30,10.0
32,41,Evergreen Valley,5,8.4,9,1,10,20,9,10,1.1111111111111112
33,21,BASIS Fremont,5,8.0,6,1,13,20,6,20,3.3333333333333335
34,40,El Camino B,5,8.0,7,2,11,20,7,20,2.857142857142857
35,31,Mountain House B,5,6.4,4,1,15,20,4,20,5.0
36,47,San Mateo,5,6.4,3,0,17,20,3,20,6.666666666666667
37,39,El Camino A,5,4.4,3,0,17,20,3,10,3.3333333333333335
38,37,Mountain House A,5,4.4,4,1,15,20,4,10,2.5
39,33,Quarry Lane A,5,4.4,5,2,13,20,5,10,2.0
40,28,GSB B,5,3.6,2,0,18,20,2,10,5.0
41,10,Davidson B,7,3.142857142857143,5,2,21,28,5,10,2.0
42,20,Albany B,5,2.8,1,0,19,20,1,10,10.0
43,30,Chico A,5,2.8,2,1,17,20,2,10,5.0
44,32,Chico B,5,2.8,1,0,19,20,1,10,10.0
45,43,Los Gatos,5,2.8,1,0,19,20,1,10,10.0
46,29,California,5,1.2,1,2,17,20,1,10,10.0
47,18,Albany A,5,0.8,1,0,19,20,1,0,0.0
48,23,American A,5,-0.8,1,2,17,20,1,0,0.0
