rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,15,Mission San Jose A,7,39.42857142857143,22,3,3,28,22,200,9.090909090909092
2,14,Palo Alto,6,36.0,20,1,3,24,20,140,7.0
3,9,Davidson A,7,33.42857142857143,19,3,6,28,19,170,8.947368421052632
4,8,Dougherty Valley A,7,27.714285714285715,17,1,10,28,17,130,7.647058823529412
5,3,Lynbrook A,7,26.857142857142858,18,6,4,28,18,140,7.777777777777778
6,17,Folsom City,5,26.8,13,2,5,20,13,90,6.923076923076923
7,26,Archbishop Mitty B,5,23.6,10,3,7,20,10,90,9.0
8,2,Mission San Jose B,6,23.333333333333332,16,6,2,24,16,100,6.25
9,44,Miller,5,23.2,10,1,9,20,10,80,8.0
10,1,Amador Valley A,7,23.142857142857142,18,5,5,28,18,110,6.111111111111111
11,5,BASIS Silicon Valley A,7,22.857142857142858,16,1,11,28,16,100,6.25
12,36,Homestead,5,22.0,10,0,10,20,10,70,7.0
13,6,Foothill A,7,21.428571428571427,18,3,7,28,18,90,5.0
14,12,Saratoga,7,21.428571428571427,16,1,11,28,16,90,5.625
15,4,Archbishop Mitty A,7,20.857142857142858,17,3,8,28,17,90,5.294117647058823
16,31,Mountain House B,5,16.4,8,0,12,20,8,50,6.25
17,45,Lynbrook B,5,14.4,8,0,12,20,8,40,5.0
18,16,Mira Loma A,7,14.0,14,2,12,28,14,50,3.5714285714285716
19,11,GSB A,7,13.428571428571429,10,4,14,28,10,70,7.0
20,21,BASIS Fremont,5,13.2,8,4,8,20,8,50,6.25
21,48,Quarry Lane B,5,12.8,6,0,14,20,6,40,6.666666666666667
22,18,Albany A,5,9.2,4,0,16,20,4,30,7.5
23,10,Davidson B,7,8.857142857142858,9,1,18,28,9,30,3.3333333333333335
24,28,GSB B,5,8.8,6,0,14,20,6,20,3.3333333333333335
25,7,Clovis North,7,8.571428571428571,11,1,16,28,11,20,1.8181818181818181
26,24,BASIS Silicon Valley B,5,8.0,5,0,15,20,5,20,4.0
27,39,El Camino A,5,8.0,6,1,13,20,6,20,3.3333333333333335
28,46,Mira Loma B,5,8.0,5,0,15,20,5,20,4.0
29,38,Dougherty Valley B,5,7.2,5,1,14,20,5,20,4.0
30,29,California,5,6.4,4,1,15,20,4,20,5.0
31,34,Stanford Online,5,6.4,6,3,11,20,6,20,3.3333333333333335
32,19,Cupertino A,5,6.0,5,0,15,20,5,10,2.0
33,42,Foothill B,5,6.0,5,0,15,20,5,10,2.0
34,13,Irvington A,7,5.714285714285714,5,0,23,28,5,20,4.0
35,47,San Mateo,5,5.6,2,0,18,20,2,20,10.0
36,25,American B,5,5.2,4,0,16,20,4,10,2.5
37,35,Cupertino B,5,5.2,4,0,16,20,4,10,2.5
38,40,El Camino B,5,5.2,5,1,14,20,5,10,2.0
39,41,Evergreen Valley,5,5.2,4,0,16,20,4,10,2.5
40,33,Quarry Lane A,5,4.8,3,2,15,20,3,20,6.666666666666667
41,22,Amador Valley B,5,4.4,3,0,17,20,3,10,3.3333333333333335
42,30,Chico A,5,4.4,4,1,15,20,4,10,2.5
43,27,Irvington B,5,3.6,2,0,18,20,2,10,5.0
44,32,Chico B,5,3.2,2,3,15,20,2,20,10.0
45,23,American A,5,2.8,2,1,17,20,2,10,5.0
46,37,Mountain House A,5,2.4,3,0,17,20,3,0,0.0
47,43,Los Gatos,5,0.8,1,0,19,20,1,0,0.0
48,20,Albany B,5,0.0,0,0,20,20,0,0,
