rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,26,Davidson A,4,36.0,11,0,1,12,11,100,9.090909090909092
2,40,Mission San Jose A,4,31.5,10,1,1,12,10,90,9.0
3,45,Saratoga,4,27.0,9,2,1,12,9,80,8.88888888888889
4,21,Clovis North,4,24.5,8,1,3,12,8,70,8.75
5,6,Amador Valley A,4,23.5,9,3,0,12,9,70,7.777777777777778
6,8,BASIS Silicon Valley A,4,23.5,8,2,2,12,8,70,8.75
7,30,Lynbrook A,4,23.0,9,1,2,12,9,60,6.666666666666667
8,46,Mission San Jose B,4,22.0,8,1,3,12,8,60,7.5
9,39,Irvington A,4,21.0,7,1,4,12,7,60,8.571428571428571
10,20,Dougherty Valley A,4,20.5,8,0,4,12,8,50,6.25
11,43,Mira Loma B,4,20.0,6,1,5,12,6,60,10.0
12,44,Palo Alto,4,20.0,7,2,3,12,7,60,8.571428571428571
13,1,Folsom City,4,19.5,7,0,5,12,7,50,7.142857142857143
14,23,Stanford Online,4,18.0,7,4,1,12,7,60,8.571428571428571
15,27,Davidson B,4,16.0,6,0,6,12,6,40,6.666666666666667
16,33,Foothill A,4,16.0,7,1,4,12,7,40,5.714285714285714
17,9,Archbishop Mitty A,4,15.5,6,3,3,12,6,50,8.333333333333334
18,32,Mira Loma A,4,15.0,6,1,5,12,6,40,6.666666666666667
19,7,Amador Valley B,4,14.0,4,0,8,12,4,40,10.0
20,3,Cupertino A,4,14.0,5,1,6,12,5,40,8.0
21,36,GSB A,4,14.0,7,3,2,12,7,40,5.714285714285714
22,16,California,4,13.0,5,2,5,12,5,40,8.0
23,29,Dougherty Valley B,4,12.5,6,1,5,12,6,30,5.0
24,11,BASIS Silicon Valley B,4,11.5,6,2,4,12,6,30,5.0
25,42,Lynbrook B,4,10.5,4,1,7,12,4,30,7.5
26,34,El Camino B,4,10.0,5,0,7,12,5,20,4.0
27,37,Foothill B,4,9.0,4,0,8,12,4,20,5.0
28,15,GSB B,4,8.0,3,0,9,12,3,20,6.666666666666667
29,25,Homestead,4,8.0,4,1,7,12,4,20,5.0
30,41,Miller,4,8.0,3,0,9,12,3,20,6.666666666666667
31,12,American B,4,7.0,2,0,10,12,2,20,10.0
32,5,BASIS Fremont,4,7.0,3,1,8,12,3,20,6.666666666666667
33,47,San Mateo,4,7.0,2,0,10,12,2,20,10.0
34,28,Mountain House A,4,5.5,3,0,9,12,3,10,3.3333333333333335
35,17,Chico A,4,4.5,2,0,10,12,2,10,5.0
36,31,El Camino A,4,4.5,2,0,10,12,2,10,5.0
37,14,Irvington B,4,4.5,3,1,8,12,3,10,3.3333333333333335
38,22,Quarry Lane A,4,4.5,2,0,10,12,2,10,5.0
39,19,Chico B,4,4.0,5,1,6,12,5,0,0.0
40,18,Mountain House B,4,3.5,2,1,9,12,2,10,5.0
41,13,Archbishop Mitty B,4,2.5,1,1,10,12,1,10,10.0
42,4,Albany B,4,2.0,2,0,10,12,2,0,0.0
43,24,Cupertino B,4,2.0,2,0,10,12,2,0,0.0
44,38,Los Gatos,4,2.0,2,0,10,12,2,0,0.0
45,48,Quarry Lane B,4,2.0,4,2,6,12,4,0,0.0
46,2,Albany A,4,1.0,1,0,11,12,1,0,0.0
47,10,American A,4,1.0,3,2,7,12,3,0,0.0
48,35,Evergreen Valley,4,1.0,1,0,11,12,1,0,0.0
