rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,6,Amador Valley A,3,45.333333333333336,10,1,1,12,10,100,10.0
2,27,Davidson B,3,44.666666666666664,11,0,1,12,11,90,8.181818181818182
3,26,Davidson A,3,42.0,10,1,1,12,10,90,9.0
4,36,GSB A,3,40.666666666666664,9,1,2,12,9,90,10.0
5,40,Mission San Jose A,3,40.666666666666664,9,1,2,12,9,90,10.0
6,46,Mission San Jose B,3,36.0,8,1,3,12,8,80,10.0
7,8,BASIS Silicon Valley A,3,35.333333333333336,9,0,3,12,9,70,7.777777777777778
8,44,Palo Alto,3,35.333333333333336,9,0,3,12,9,70,7.777777777777778
9,9,Archbishop Mitty A,3,34.0,8,0,4,12,8,70,8.75
10,29,Dougherty Valley B,3,34.0,9,1,2,12,9,70,7.777777777777778
11,45,Saratoga,3,33.333333333333336,10,0,2,12,10,60,6.0
12,30,Lynbrook A,3,32.666666666666664,7,0,5,12,7,70,10.0
13,20,Dougherty Valley A,3,32.0,9,0,3,12,9,60,6.666666666666667
14,13,Archbishop Mitty B,3,27.333333333333332,8,0,4,12,8,50,6.25
15,41,Miller,3,26.0,7,0,5,12,7,50,7.142857142857143
16,33,Foothill A,3,24.666666666666668,6,0,6,12,6,50,8.333333333333334
17,32,Mira Loma A,3,24.666666666666668,6,0,6,12,6,50,8.333333333333334
18,21,Clovis North,3,23.333333333333332,6,1,5,12,6,50,8.333333333333334
19,2,Albany A,3,22.666666666666668,7,0,5,12,7,40,5.714285714285714
20,42,Lynbrook B,3,22.0,5,1,6,12,5,50,10.0
21,11,BASIS Silicon Valley B,3,20.0,6,1,5,12,6,40,6.666666666666667
22,15,GSB B,3,18.666666666666668,4,0,8,12,4,40,10.0
23,39,Irvington A,3,17.333333333333332,5,2,5,12,5,40,8.0
24,1,Folsom City,3,13.333333333333334,5,0,7,12,5,20,4.0
25,38,Los Gatos,3,13.333333333333334,5,0,7,12,5,20,4.0
26,10,American A,3,12.0,4,0,8,12,4,20,5.0
27,3,Cupertino A,3,12.0,4,0,8,12,4,20,5.0
28,34,El Camino B,3,12.0,5,1,6,12,5,20,4.0
29,18,Mountain House B,3,12.0,4,0,8,12,4,20,5.0
30,37,Foothill B,3,10.666666666666666,4,1,7,12,4,20,5.0
31,24,Cupertino B,3,9.333333333333334,3,1,8,12,3,20,6.666666666666667
32,31,El Camino A,3,8.666666666666666,4,0,8,12,4,10,2.5
33,14,Irvington B,3,8.666666666666666,4,0,8,12,4,10,2.5
34,7,Amador Valley B,3,8.0,3,2,7,12,3,20,6.666666666666667
35,16,California,3,8.0,2,1,9,12,2,20,10.0
36,25,Homestead,3,8.0,3,2,7,12,3,20,6.666666666666667
37,48,Quarry Lane B,3,8.0,3,2,7,12,3,20,6.666666666666667
38,35,Evergreen Valley,3,7.333333333333333,3,0,9,12,3,10,3.3333333333333335
39,43,Mira Loma B,3,7.333333333333333,3,0,9,12,3,10,3.3333333333333335
40,23,Stanford Online,3,6.0,3,1,8,12,3,10,3.3333333333333335
41,5,BASIS Fremont,3,4.0,3,0,9,12,3,0,0.0
42,12,American B,3,2.6666666666666665,2,0,10,12,2,0,0.0
43,17,Chico A,3,2.6666666666666665,2,0,10,12,2,0,0.0
44,28,Mountain House A,3,1.3333333333333333,1,0,11,12,1,0,0.0
45,22,Quarry Lane A,3,1.3333333333333333,1,0,11,12,1,0,0.0
46,4,Albany B,3,0.0,0,0,12,12,0,0,
47,19,Chico B,3,0.0,0,0,12,12,0,0,
48,47,San Mateo,3,0.0,0,0,12,12,0,0,
