rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,9,Davidson A,11,32.54545454545455,32,5,7,44,32,250,7.8125
2,24,BASIS Silicon Valley B,5,31.2,15,1,4,20,15,100,6.666666666666667
3,3,Lynbrook A,9,29.77777777777778,22,5,9,36,22,200,9.090909090909092
4,37,Mountain House A,5,26.4,13,0,7,20,13,80,6.153846153846154
5,12,Saratoga,7,26.285714285714285,17,6,5,28,17,140,8.235294117647058
6,2,Mission San Jose B,10,26.0,25,5,10,40,25,180,7.2
7,14,Palo Alto,10,26.0,21,6,13,40,21,200,9.523809523809524
8,15,Mission San Jose A,13,24.923076923076923,29,8,15,52,29,240,8.275862068965518
9,44,Miller,5,24.8,11,0,9,20,11,80,7.2727272727272725
10,16,Mira Loma A,7,22.285714285714285,16,2,10,28,16,100,6.25
11,10,Davidson B,7,21.714285714285715,13,0,15,28,13,100,7.6923076923076925
12,13,Irvington A,7,21.714285714285715,15,2,11,28,15,100,6.666666666666667
13,5,BASIS Silicon Valley A,10,21.6,19,5,16,40,19,160,8.421052631578947
14,29,California,5,21.6,12,0,8,20,12,60,5.0
15,7,Clovis North,8,19.75,15,3,14,32,15,110,7.333333333333333
16,34,Stanford Online,5,18.4,9,1,10,20,9,60,6.666666666666667
17,1,Amador Valley A,10,17.8,22,10,8,40,22,130,5.909090909090909
18,17,Folsom City,5,17.6,8,1,11,20,8,60,7.5
19,19,Cupertino A,5,16.8,9,3,8,20,9,60,6.666666666666667
20,11,GSB A,8,15.5,14,8,10,32,14,100,7.142857142857143
21,6,Foothill A,9,13.555555555555555,13,5,18,36,13,90,6.923076923076923
22,36,Homestead,5,13.2,9,0,11,20,9,30,3.3333333333333335
23,21,BASIS Fremont,5,12.0,6,1,13,20,6,40,6.666666666666667
24,39,El Camino A,5,12.0,7,2,11,20,7,40,5.714285714285714
25,8,Dougherty Valley A,8,11.75,12,6,14,32,12,70,5.833333333333333
26,22,Amador Valley B,5,11.6,7,0,13,20,7,30,4.285714285714286
27,26,Archbishop Mitty B,5,11.6,7,0,13,20,7,30,4.285714285714286
28,46,Mira Loma B,5,11.6,7,0,13,20,7,30,4.285714285714286
29,23,American A,5,11.2,5,1,14,20,5,40,8.0
30,38,Dougherty Valley B,5,11.2,7,3,10,20,7,40,5.714285714285714
31,4,Archbishop Mitty A,8,10.25,10,7,15,32,10,70,7.0
32,28,GSB B,5,9.2,4,0,16,20,4,30,7.5
33,27,Irvington B,5,8.8,6,0,14,20,6,20,3.3333333333333335
34,35,Cupertino B,5,8.4,3,0,17,20,3,30,10.0
35,30,Chico A,5,8.0,6,1,13,20,6,20,3.3333333333333335
36,32,Chico B,5,7.6,4,2,14,20,4,30,7.5
37,45,Lynbrook B,5,7.6,3,1,16,20,3,30,10.0
38,41,Evergreen Valley,5,7.2,5,1,14,20,5,20,4.0
39,42,Foothill B,5,7.2,5,1,14,20,5,20,4.0
40,20,Albany B,5,6.4,3,0,17,20,3,20,6.666666666666667
41,40,El Camino B,5,5.2,4,0,16,20,4,10,2.5
42,18,Albany A,5,4.4,3,0,17,20,3,10,3.3333333333333335
43,25,American B,5,3.6,2,0,18,20,2,10,5.0
44,31,Mountain House B,5,3.6,3,1,16,20,3,10,3.3333333333333335
45,48,Quarry Lane B,5,3.2,5,1,14,20,5,0,0.0
46,43,Los Gatos,5,2.4,5,2,13,20,5,0,0.0
47,33,Quarry Lane A,5,2.4,4,1,15,20,4,0,0.0
48,47,San Mateo,5,-0.8,0,1,19,20,0,0,
